125 787
1 12 1
1 37 1
1 42 1
1 53 1
1 56 1
1 67 1
1 87 1
1 95 1
1 106 1
1 108 1
1 109 1
1 118 1
2 3 1
2 13 1
2 15 1
2 20 1
2 53 1
2 55 1
2 56 1
2 66 1
2 75 1
2 90 1
2 120 1
3 16 1
3 22 1
3 31 1
3 34 1
3 35 1
3 42 1
3 56 1
3 57 1
3 65 1
3 80 1
3 83 1
3 89 1
3 94 1
3 108 1
3 115 1
3 117 1
4 22 1
4 25 1
4 31 1
4 34 1
4 48 1
4 68 1
4 69 1
4 76 1
4 77 1
4 83 1
4 85 1
4 93 1
5 20 1
5 22 1
5 23 1
5 27 1
5 28 1
5 33 1
5 38 1
5 74 1
5 84 1
5 95 1
5 97 1
5 108 1
6 14 1
6 15 1
6 31 1
6 65 1
6 70 1
6 78 1
6 83 1
6 104 1
6 105 1
6 114 1
6 125 1
7 14 1
7 30 1
7 58 1
7 78 1
7 81 1
7 86 1
7 108 1
8 12 1
8 40 1
8 44 1
8 58 1
8 110 1
8 113 1
8 121 1
9 12 1
9 26 1
9 32 1
9 46 1
9 64 1
9 69 1
9 74 1
9 88 1
9 108 1
9 116 1
9 124 1
10 20 1
10 29 1
10 33 1
10 34 1
10 54 1
10 71 1
10 83 1
10 95 1
10 118 1
10 121 1
11 15 1
11 26 1
11 51 1
11 59 1
11 86 1
11 97 1
11 112 1
11 124 1
12 15 1
12 33 1
12 43 1
12 68 1
12 76 1
12 78 1
12 84 1
12 88 1
12 89 1
12 92 1
12 102 1
12 104 1
12 114 1
13 14 1
13 48 1
13 65 1
13 71 1
13 78 1
13 84 1
13 88 1
13 102 1
13 108 1
13 121 1
13 124 1
14 28 1
14 35 1
14 42 1
14 63 1
14 64 1
14 71 1
14 73 1
14 87 1
14 89 1
14 93 1
14 106 1
14 108 1
15 32 1
15 38 1
15 51 1
15 57 1
15 67 1
15 71 1
15 75 1
15 77 1
15 79 1
15 94 1
15 96 1
15 109 1
15 119 1
15 124 1
16 21 1
16 23 1
16 25 1
16 29 1
16 40 1
16 44 1
16 53 1
16 64 1
16 68 1
16 72 1
16 74 1
16 76 1
16 80 1
16 89 1
16 101 1
16 103 1
16 112 1
17 30 1
17 33 1
17 42 1
17 43 1
17 50 1
17 56 1
17 60 1
17 64 1
17 68 1
17 72 1
17 83 1
17 88 1
17 97 1
17 102 1
17 111 1
17 116 1
18 27 1
18 30 1
18 52 1
18 57 1
18 62 1
18 65 1
18 102 1
18 104 1
18 113 1
19 20 1
19 60 1
19 61 1
19 83 1
19 106 1
19 113 1
19 124 1
20 35 1
20 70 1
20 74 1
20 91 1
20 94 1
20 100 1
20 107 1
20 108 1
20 113 1
21 24 1
21 25 1
21 27 1
21 30 1
21 38 1
21 57 1
21 62 1
21 66 1
21 71 1
21 78 1
21 85 1
21 86 1
21 102 1
21 110 1
22 23 1
22 31 1
22 37 1
22 61 1
22 91 1
22 106 1
22 121 1
23 25 1
23 32 1
23 41 1
23 50 1
23 69 1
23 70 1
23 95 1
23 100 1
23 102 1
23 107 1
24 62 1
24 78 1
24 83 1
24 91 1
24 97 1
24 111 1
24 114 1
24 120 1
25 28 1
25 35 1
25 38 1
25 42 1
25 63 1
25 64 1
25 78 1
26 27 1
26 37 1
26 52 1
26 56 1
26 72 1
26 79 1
26 83 1
26 95 1
26 97 1
26 98 1
26 113 1
27 31 1
27 44 1
27 50 1
27 57 1
27 62 1
27 74 1
27 93 1
27 116 1
27 125 1
28 31 1
28 38 1
28 48 1
28 64 1
28 72 1
28 76 1
28 79 1
28 85 1
28 96 1
28 108 1
28 112 1
29 46 1
29 53 1
29 73 1
29 76 1
29 78 1
29 106 1
30 44 1
30 50 1
30 54 1
30 68 1
30 71 1
30 108 1
30 113 1
31 73 1
31 76 1
31 87 1
31 89 1
31 94 1
31 111 1
32 34 1
32 51 1
32 62 1
32 63 1
32 67 1
32 68 1
32 75 1
32 82 1
32 108 1
32 117 1
32 120 1
33 36 1
33 71 1
33 77 1
33 86 1
33 89 1
33 91 1
33 94 1
33 107 1
33 108 1
33 115 1
33 116 1
33 124 1
34 42 1
34 58 1
34 62 1
34 64 1
34 75 1
34 118 1
35 61 1
35 76 1
35 79 1
35 81 1
35 90 1
35 94 1
35 115 1
35 120 1
36 50 1
36 51 1
36 56 1
36 60 1
36 61 1
36 71 1
36 73 1
36 75 1
36 78 1
36 79 1
36 81 1
36 85 1
36 88 1
36 90 1
36 91 1
36 97 1
36 100 1
36 103 1
36 105 1
36 109 1
36 122 1
37 40 1
37 41 1
37 43 1
37 48 1
37 75 1
37 88 1
37 95 1
37 98 1
37 103 1
37 110 1
38 46 1
38 51 1
38 76 1
38 98 1
38 99 1
38 104 1
38 105 1
38 108 1
38 112 1
38 113 1
39 56 1
39 59 1
39 76 1
39 77 1
39 82 1
39 84 1
39 106 1
39 117 1
39 122 1
40 73 1
40 74 1
40 75 1
40 85 1
40 112 1
41 49 1
41 55 1
41 70 1
41 102 1
41 108 1
41 111 1
41 116 1
41 124 1
41 125 1
42 46 1
42 51 1
42 61 1
42 63 1
42 81 1
42 82 1
42 83 1
42 107 1
42 113 1
42 115 1
42 122 1
42 123 1
43 65 1
43 70 1
43 71 1
43 73 1
43 92 1
43 93 1
43 113 1
43 119 1
43 121 1
43 125 1
44 53 1
44 56 1
44 57 1
44 90 1
44 97 1
44 109 1
44 119 1
44 124 1
45 76 1
45 81 1
45 93 1
45 94 1
45 111 1
45 112 1
46 47 1
46 50 1
46 52 1
46 83 1
46 99 1
46 105 1
46 121 1
47 61 1
47 62 1
47 82 1
47 83 1
47 84 1
47 99 1
47 100 1
47 103 1
48 51 1
48 52 1
48 55 1
48 57 1
48 95 1
48 103 1
48 109 1
49 57 1
49 59 1
49 69 1
49 87 1
49 100 1
49 105 1
49 109 1
50 58 1
50 76 1
50 79 1
50 82 1
50 88 1
50 89 1
50 93 1
50 101 1
50 102 1
50 107 1
51 63 1
51 69 1
51 73 1
51 74 1
51 81 1
51 89 1
51 95 1
51 102 1
51 103 1
51 113 1
51 120 1
51 125 1
52 61 1
52 71 1
52 72 1
52 92 1
52 97 1
52 102 1
52 116 1
53 55 1
53 57 1
53 76 1
53 81 1
53 84 1
53 91 1
53 121 1
53 122 1
54 91 1
54 94 1
54 119 1
55 56 1
55 63 1
55 74 1
55 81 1
55 83 1
55 87 1
55 95 1
55 100 1
55 116 1
55 119 1
55 120 1
56 66 1
56 84 1
56 93 1
56 106 1
56 113 1
57 74 1
57 103 1
57 118 1
58 80 1
58 90 1
58 98 1
58 105 1
58 107 1
58 108 1
58 122 1
58 124 1
59 65 1
59 73 1
59 75 1
59 98 1
59 100 1
59 107 1
59 122 1
60 92 1
60 98 1
61 66 1
61 79 1
61 80 1
61 83 1
61 95 1
61 116 1
61 120 1
62 68 1
62 88 1
62 93 1
62 97 1
62 112 1
62 117 1
63 74 1
63 77 1
63 79 1
63 88 1
63 90 1
63 95 1
63 101 1
63 102 1
63 115 1
64 80 1
64 84 1
64 85 1
64 86 1
64 88 1
64 93 1
64 100 1
64 110 1
64 113 1
64 114 1
64 115 1
65 72 1
65 81 1
65 111 1
65 121 1
66 74 1
66 90 1
66 92 1
66 95 1
66 97 1
66 100 1
66 108 1
66 115 1
66 123 1
67 87 1
67 94 1
67 107 1
67 115 1
67 124 1
68 73 1
68 78 1
68 81 1
68 88 1
68 89 1
68 105 1
68 106 1
68 113 1
68 120 1
69 83 1
69 85 1
69 94 1
69 100 1
69 103 1
69 116 1
69 121 1
70 84 1
70 94 1
70 107 1
70 112 1
71 75 1
71 88 1
71 100 1
71 103 1
72 75 1
72 76 1
72 101 1
72 103 1
72 122 1
72 123 1
73 79 1
73 82 1
73 86 1
73 90 1
73 93 1
73 95 1
73 96 1
73 108 1
73 117 1
73 122 1
75 76 1
75 79 1
75 81 1
75 90 1
75 97 1
75 103 1
75 108 1
75 112 1
75 113 1
75 118 1
76 80 1
76 83 1
76 89 1
76 110 1
76 117 1
76 119 1
77 90 1
77 100 1
77 105 1
77 107 1
77 120 1
78 90 1
78 105 1
78 112 1
78 119 1
78 121 1
79 108 1
79 118 1
80 92 1
81 84 1
81 87 1
81 112 1
81 114 1
81 124 1
82 89 1
82 94 1
82 97 1
82 99 1
83 86 1
83 91 1
83 100 1
83 103 1
83 106 1
83 113 1
83 125 1
84 90 1
84 107 1
84 122 1
85 89 1
85 109 1
85 112 1
85 124 1
86 88 1
86 117 1
86 120 1
86 123 1
87 88 1
87 92 1
87 93 1
87 96 1
87 103 1
87 116 1
87 124 1
88 92 1
88 116 1
88 120 1
88 121 1
89 96 1
89 112 1
89 121 1
90 91 1
90 93 1
90 97 1
90 105 1
90 110 1
90 116 1
90 122 1
91 113 1
91 120 1
91 123 1
92 97 1
92 120 1
93 109 1
93 116 1
94 96 1
94 97 1
94 106 1
94 108 1
94 115 1
94 123 1
95 98 1
95 99 1
95 119 1
95 122 1
95 125 1
96 100 1
96 101 1
96 109 1
96 115 1
96 119 1
97 116 1
97 117 1
97 118 1
98 123 1
99 102 1
99 109 1
100 118 1
100 125 1
101 104 1
