45 72
1 10 1
1 19 1
1 22 1
1 25 1
2 11 1
2 28 1
2 31 1
2 34 1
3 12 1
3 37 1
3 40 1
3 43 1
4 13 1
4 23 1
4 29 1
4 44 1
5 14 1
5 20 1
5 32 1
5 41 1
6 15 1
6 26 1
6 35 1
6 38 1
7 16 1
7 27 1
7 33 1
7 45 1
8 17 1
8 24 1
8 36 1
8 42 1
9 18 1
9 21 1
9 30 1
9 39 1
10 11 1
10 12 1
11 12 1
13 14 1
13 15 1
14 15 1
16 17 1
16 18 1
17 18 1
19 20 1
19 21 1
20 21 1
22 23 1
22 24 1
23 24 1
25 26 1
25 27 1
26 27 1
28 29 1
28 30 1
29 30 1
31 32 1
31 33 1
32 33 1
34 35 1
34 36 1
35 36 1
37 38 1
37 39 1
38 39 1
40 41 1
40 42 1
41 42 1
43 44 1
43 45 1
44 45 1
