800 111957
1 7 1
1 10 1
1 12 1
1 17 1
1 20 1
1 23 1
1 25 1
1 32 1
1 33 1
1 34 1
1 40 1
1 43 1
1 47 1
1 50 1
1 51 1
1 56 1
1 62 1
1 63 1
1 64 1
1 65 1
1 75 1
1 78 1
1 80 1
1 87 1
1 89 1
1 90 1
1 92 1
1 94 1
1 96 1
1 97 1
1 103 1
1 104 1
1 105 1
1 108 1
1 116 1
1 118 1
1 119 1
1 120 1
1 121 1
1 124 1
1 129 1
1 136 1
1 145 1
1 147 1
1 151 1
1 156 1
1 158 1
1 165 1
1 169 1
1 171 1
1 174 1
1 175 1
1 188 1
1 190 1
1 199 1
1 202 1
1 203 1
1 204 1
1 206 1
1 208 1
1 209 1
1 210 1
1 213 1
1 214 1
1 220 1
1 223 1
1 230 1
1 237 1
1 238 1
1 239 1
1 244 1
1 247 1
1 249 1
1 250 1
1 253 1
1 255 1
1 263 1
1 264 1
1 269 1
1 272 1
1 273 1
1 274 1
1 275 1
1 278 1
1 280 1
1 284 1
1 286 1
1 293 1
1 295 1
1 296 1
1 299 1
1 308 1
1 310 1
1 312 1
1 313 1
1 317 1
1 320 1
1 327 1
1 329 1
1 331 1
1 333 1
1 335 1
1 337 1
1 338 1
1 339 1
1 340 1
1 348 1
1 351 1
1 354 1
1 359 1
1 361 1
1 362 1
1 364 1
1 366 1
1 368 1
1 371 1
1 373 1
1 375 1
1 380 1
1 385 1
1 386 1
1 387 1
1 389 1
1 395 1
1 399 1
1 400 1
1 404 1
1 413 1
1 418 1
1 419 1
1 426 1
1 427 1
1 438 1
1 441 1
1 444 1
1 446 1
1 447 1
1 449 1
1 450 1
1 452 1
1 458 1
1 461 1
1 464 1
1 466 1
1 468 1
1 471 1
1 474 1
1 476 1
1 477 1
1 478 1
1 482 1
1 484 1
1 488 1
1 490 1
1 491 1
1 493 1
1 496 1
1 500 1
1 502 1
1 503 1
1 504 1
1 506 1
1 508 1
1 509 1
1 511 1
1 517 1
1 521 1
1 524 1
1 525 1
1 527 1
1 533 1
1 536 1
1 540 1
1 541 1
1 543 1
1 547 1
1 551 1
1 555 1
1 559 1
1 561 1
1 563 1
1 567 1
1 569 1
1 571 1
1 573 1
1 576 1
1 582 1
1 583 1
1 588 1
1 589 1
1 596 1
1 597 1
1 600 1
1 602 1
1 603 1
1 610 1
1 611 1
1 613 1
1 617 1
1 620 1
1 625 1
1 626 1
1 632 1
1 634 1
1 641 1
1 649 1
1 657 1
1 658 1
1 661 1
1 662 1
1 663 1
1 664 1
1 665 1
1 666 1
1 668 1
1 669 1
1 671 1
1 672 1
1 674 1
1 679 1
1 682 1
1 683 1
1 684 1
1 686 1
1 689 1
1 696 1
1 698 1
1 699 1
1 701 1
1 702 1
1 705 1
1 708 1
1 710 1
1 713 1
1 714 1
1 715 1
1 723 1
1 724 1
1 731 1
1 732 1
1 734 1
1 735 1
1 736 1
1 738 1
1 742 1
1 743 1
1 747 1
1 750 1
1 753 1
1 761 1
1 766 1
1 770 1
1 771 1
1 778 1
1 780 1
1 785 1
1 788 1
1 789 1
1 790 1
1 793 1
1 797 1
2 4 1
2 7 1
2 8 1
2 9 1
2 11 1
2 12 1
2 16 1
2 23 1
2 24 1
2 27 1
2 29 1
2 30 1
2 32 1
2 33 1
2 37 1
2 38 1
2 40 1
2 41 1
2 44 1
2 48 1
2 50 1
2 52 1
2 55 1
2 60 1
2 61 1
2 63 1
2 72 1
2 75 1
2 76 1
2 80 1
2 81 1
2 87 1
2 89 1
2 91 1
2 93 1
2 97 1
2 98 1
2 99 1
2 100 1
2 103 1
2 105 1
2 107 1
2 111 1
2 112 1
2 113 1
2 119 1
2 120 1
2 121 1
2 126 1
2 129 1
2 130 1
2 143 1
2 149 1
2 152 1
2 153 1
2 156 1
2 159 1
2 162 1
2 163 1
2 165 1
2 167 1
2 171 1
2 173 1
2 174 1
2 175 1
2 178 1
2 180 1
2 190 1
2 191 1
2 193 1
2 195 1
2 198 1
2 199 1
2 200 1
2 202 1
2 207 1
2 211 1
2 215 1
2 220 1
2 221 1
2 227 1
2 231 1
2 232 1
2 234 1
2 235 1
2 237 1
2 238 1
2 241 1
2 242 1
2 243 1
2 244 1
2 245 1
2 247 1
2 249 1
2 251 1
2 256 1
2 258 1
2 262 1
2 264 1
2 269 1
2 270 1
2 271 1
2 275 1
2 276 1
2 279 1
2 281 1
2 283 1
2 291 1
2 297 1
