125 3859
1 7 1
1 8 1
1 9 1
1 14 1
1 19 1
1 20 1
1 23 1
1 24 1
1 31 1
1 34 1
1 35 1
1 39 1
1 41 1
1 42 1
1 43 1
1 44 1
1 48 1
1 50 1
1 51 1
1 52 1
1 53 1
1 55 1
1 63 1
1 64 1
1 65 1
1 66 1
1 68 1
1 70 1
1 72 1
1 73 1
1 74 1
1 75 1
1 76 1
1 77 1
1 78 1
1 79 1
1 85 1
1 86 1
1 87 1
1 88 1
1 89 1
1 90 1
1 102 1
1 109 1
1 110 1
1 111 1
1 112 1
1 113 1
1 115 1
1 118 1
1 119 1
1 125 1
2 3 1
2 8 1
2 9 1
2 12 1
2 16 1
2 17 1
2 19 1
2 20 1
2 22 1
2 24 1
2 25 1
2 29 1
2 36 1
2 38 1
2 41 1
2 43 1
2 45 1
2 47 1
2 48 1
2 51 1
2 52 1
2 53 1
2 63 1
2 65 1
2 69 1
2 71 1
2 77 1
2 80 1
2 81 1
2 83 1
2 84 1
2 85 1
2 86 1
2 87 1
2 88 1
2 90 1
2 92 1
2 93 1
2 95 1
2 96 1
2 97 1
2 99 1
2 101 1
2 103 1
2 106 1
2 107 1
2 108 1
2 109 1
2 110 1
2 112 1
2 117 1
2 119 1
2 120 1
2 121 1
2 122 1
2 125 1
3 9 1
3 11 1
3 12 1
3 15 1
3 16 1
3 19 1
3 20 1
3 21 1
3 22 1
3 23 1
3 26 1
3 27 1
3 29 1
3 31 1
3 35 1
3 38 1
3 39 1
3 46 1
3 47 1
3 48 1
3 51 1
3 52 1
3 53 1
3 55 1
3 56 1
3 58 1
3 62 1
3 63 1
3 67 1
3 68 1
3 70 1
3 72 1
3 73 1
3 75 1
3 76 1
3 77 1
3 86 1
3 88 1
3 90 1
3 92 1
3 93 1
3 95 1
3 96 1
3 98 1
3 99 1
3 100 1
3 102 1
3 103 1
3 104 1
3 109 1
3 115 1
3 116 1
3 117 1
3 123 1
3 125 1
4 5 1
4 7 1
4 8 1
4 9 1
4 11 1
4 13 1
4 15 1
4 19 1
4 20 1
4 22 1
4 26 1
4 28 1
4 31 1
4 33 1
4 36 1
4 37 1
4 38 1
4 42 1
4 44 1
4 48 1
4 49 1
4 50 1
4 53 1
4 54 1
4 57 1
4 59 1
4 62 1
4 64 1
4 65 1
4 69 1
4 70 1
4 72 1
4 74 1
4 75 1
4 78 1
4 80 1
4 82 1
4 83 1
4 84 1
4 86 1
4 88 1
4 89 1
4 91 1
4 95 1
4 97 1
4 98 1
4 99 1
4 100 1
4 102 1
4 106 1
4 107 1
4 108 1
4 109 1
4 110 1
4 111 1
4 119 1
4 120 1
4 122 1
4 123 1
5 6 1
5 7 1
5 10 1
5 14 1
5 18 1
5 19 1
5 21 1
5 22 1
5 23 1
5 25 1
5 26 1
5 27 1
5 28 1
5 29 1
5 32 1
5 33 1
5 34 1
5 36 1
5 37 1
5 38 1
5 39 1
5 40 1
5 42 1
5 43 1
5 45 1
5 46 1
5 49 1
5 50 1
5 52 1
5 53 1
5 56 1
5 57 1
5 58 1
5 60 1
5 63 1
5 64 1
5 68 1
5 69 1
5 70 1
5 72 1
5 73 1
5 74 1
5 75 1
5 80 1
5 81 1
5 82 1
5 83 1
5 85 1
5 89 1
5 90 1
5 94 1
5 95 1
5 97 1
5 99 1
5 105 1
5 108 1
5 110 1
5 113 1
5 114 1
5 115 1
5 116 1
5 117 1
5 118 1
5 119 1
5 121 1
5 122 1
5 123 1
5 124 1
6 8 1
6 9 1
6 12 1
6 13 1
6 14 1
6 15 1
6 16 1
