120 545
1 2 1
1 41 1
1 69 1
1 72 1
1 84 1
1 94 1
1 98 1
1 107 1
2 25 1
2 33 1
2 69 1
2 84 1
2 94 1
2 95 1
2 97 1
2 98 1
3 7 1
3 16 1
3 63 1
3 66 1
3 71 1
3 87 1
3 100 1
3 118 1
4 14 1
4 15 1
4 28 1
4 32 1
4 59 1
4 71 1
4 77 1
4 78 1
4 83 1
4 89 1
5 14 1
5 50 1
5 62 1
5 67 1
5 73 1
5 77 1
5 78 1
5 83 1
5 91 1
5 105 1
6 16 1
6 25 1
6 38 1
6 43 1
6 60 1
6 66 1
6 67 1
6 87 1
6 113 1
6 118 1
7 16 1
7 38 1
7 61 1
7 63 1
7 67 1
7 82 1
7 87 1
7 100 1
7 107 1
8 26 1
8 34 1
8 39 1
8 48 1
8 49 1
8 55 1
8 58 1
8 99 1
8 105 1
9 20 1
9 22 1
9 30 1
9 38 1
9 53 1
9 71 1
9 75 1
9 105 1
9 110 1
10 26 1
10 39 1
10 42 1
10 48 1
10 57 1
10 72 1
10 75 1
10 99 1
10 103 1
11 23 1
11 27 1
11 31 1
11 44 1
11 70 1
11 104 1
11 106 1
11 115 1
12 25 1
12 33 1
12 46 1
12 72 1
12 84 1
12 94 1
12 96 1
12 107 1
13 39 1
13 43 1
13 45 1
13 47 1
13 54 1
13 55 1
13 63 1
13 76 1
13 101 1
14 15 1
14 59 1
14 73 1
14 83 1
14 91 1
15 59 1
15 73 1
15 83 1
15 89 1
15 91 1
16 37 1
16 44 1
16 50 1
16 60 1
16 67 1
16 70 1
16 100 1
16 118 1
17 19 1
17 21 1
17 28 1
17 35 1
17 63 1
17 68 1
17 74 1
17 86 1
17 108 1
18 19 1
18 28 1
18 32 1
18 35 1
18 51 1
18 77 1
18 86 1
18 88 1
18 110 1
19 21 1
19 28 1
19 35 1
19 51 1
19 53 1
19 68 1
20 22 1
20 29 1
20 30 1
20 36 1
20 71 1
20 75 1
20 90 1
20 105 1
20 119 1
21 28 1
21 51 1
21 68 1
21 108 1
21 110 1
22 30 1
22 32 1
22 48 1
22 52 1
22 58 1
22 62 1
22 71 1
22 85 1
22 88 1
22 90 1
22 96 1
22 112 1
22 114 1
23 31 1
23 44 1
23 70 1
23 92 1
23 106 1
23 115 1
24 29 1
24 33 1
24 40 1
24 82 1
24 88 1
24 95 1
24 104 1
24 111 1
24 118 1
25 30 1
25 33 1
25 49 1
25 59 1
25 84 1
25 92 1
25 96 1
25 98 1
25 107 1
26 48 1
26 49 1
26 57 1
26 58 1
26 72 1
26 103 1
26 114 1
27 31 1
27 44 1
27 46 1
27 50 1
27 63 1
27 102 1
27 115 1
28 35 1
28 86 1
28 108 1
29 52 1
29 55 1
29 56 1
29 82 1
29 93 1
29 95 1
29 103 1
29 109 1
29 111 1
30 36 1
30 74 1
30 90 1
30 94 1
30 105 1
30 112 1
31 50 1
31 56 1
31 78 1
31 102 1
31 106 1
31 115 1
32 35 1
32 51 1
32 68 1
32 86 1
32 108 1
32 110 1
33 56 1
33 59 1
33 69 1
33 84 1
33 96 1
33 98 1
34 39 1
34 42 1
34 49 1
34 57 1
34 58 1
34 99 1
34 113 1
35 51 1
35 86 1
35 88 1
36 45 1
36 54 1
36 55 1
36 65 1
36 76 1
36 116 1
36 120 1
37 41 1
37 61 1
37 64 1
37 73 1
37 79 1
37 112 1
37 113 1
37 117 1
37 119 1
38 43 1
38 53 1
38 60 1
38 63 1
38 66 1
38 67 1
38 87 1
38 91 1
39 42 1
39 48 1
39 58 1
39 99 1
40 78 1
40 88 1
40 95 1
40 97 1
40 104 1
40 109 1
40 111 1
41 52 1
41 61 1
41 78 1
41 79 1
41 86 1
41 113 1
41 114 1
41 119 1
42 57 1
42 58 1
42 60 1
42 91 1
42 93 1
42 99 1
42 103 1
43 45 1
43 47 1
43 54 1
43 55 1
43 80 1
43 82 1
43 101 1
43 116 1
44 46 1
44 70 1
44 92 1
44 96 1
44 108 1
44 115 1
45 54 1
45 55 1
45 65 1
45 116 1
46 50 1
46 70 1
46 92 1
46 102 1
46 115 1
47 54 1
47 65 1
47 76 1
47 101 1
47 120 1
48 49 1
48 99 1
48 103 1
49 57 1
49 58 1
49 95 1
49 103 1
49 112 1
50 57 1
50 70 1
50 71 1
50 92 1
50 102 1
50 106 1
50 108 1
51 68 1
51 110 1
52 61 1
52 79 1
52 80 1
52 81 1
52 114 1
52 119 1
53 71 1
53 74 1
53 75 1
53 82 1
53 85 1
53 105 1
53 112 1
54 65 1
54 76 1
55 101 1
55 116 1
55 120 1
56 61 1
56 82 1
56 93 1
56 95 1
56 97 1
56 104 1
56 109 1
57 58 1
57 93 1
57 103 1
57 106 1
58 66 1
58 75 1
58 82 1
58 92 1
59 62 1
59 63 1
59 77 1
59 89 1
59 91 1
59 95 1
59 113 1
60 66 1
60 67 1
60 78 1
60 100 1
60 118 1
61 79 1
61 81 1
61 89 1
61 117 1
61 119 1
62 73 1
62 77 1
62 78 1
62 89 1
62 91 1
63 66 1
63 87 1
63 100 1
63 114 1
63 118 1
64 79 1
64 80 1
64 81 1
64 91 1
64 113 1
64 114 1
64 115 1
64 117 1
65 76 1
65 116 1
65 120 1
66 87 1
66 118 1
67 69 1
67 87 1
67 100 1
68 70 1
68 108 1
68 110 1
68 119 1
69 72 1
69 94 1
69 96 1
69 98 1
70 72 1
70 92 1
70 106 1
70 109 1
71 75 1
71 85 1
71 90 1
71 102 1
72 94 1
72 96 1
72 98 1
72 107 1
73 78 1
73 83 1
73 91 1
74 75 1
74 80 1
74 85 1
74 90 1
74 105 1
74 112 1
75 85 1
75 105 1
76 101 1
76 120 1
77 78 1
77 89 1
77 91 1
77 97 1
78 83 1
78 89 1
78 99 1
78 110 1
79 82 1
79 113 1
79 114 1
80 81 1
80 103 1
80 113 1
80 114 1
80 117 1
80 119 1
81 114 1
81 117 1
81 119 1
82 93 1
82 95 1
82 97 1
82 104 1
83 89 1
84 94 1
84 107 1
85 90 1
85 112 1
86 108 1
86 110 1
86 115 1
88 93 1
88 97 1
88 102 1
88 104 1
88 109 1
88 111 1
90 103 1
90 112 1
90 119 1
91 109 1
92 102 1
92 106 1
93 97 1
93 109 1
93 111 1
94 107 1
95 104 1
95 111 1
96 98 1
96 105 1
96 107 1
97 104 1
97 109 1
99 103 1
100 103 1
100 112 1
100 118 1
101 116 1
101 120 1
102 106 1
102 115 1
105 112 1
107 120 1
108 110 1
108 115 1
109 111 1
109 117 1
113 114 1
113 117 1
116 120 1
117 119 1
