64 192
1 2 1
1 3 1
1 5 1
1 9 1
1 17 1
1 33 1
2 4 1
2 6 1
2 10 1
2 18 1
2 34 1
3 4 1
3 7 1
3 11 1
3 19 1
3 35 1
4 8 1
4 12 1
4 20 1
4 36 1
5 6 1
5 7 1
5 13 1
5 21 1
5 37 1
6 8 1
6 14 1
6 22 1
6 38 1
7 8 1
7 15 1
7 23 1
7 39 1
8 16 1
8 24 1
8 40 1
9 10 1
9 11 1
9 13 1
9 25 1
9 41 1
10 12 1
10 14 1
10 26 1
10 42 1
11 12 1
11 15 1
11 27 1
11 43 1
12 16 1
12 28 1
12 44 1
13 14 1
13 15 1
13 29 1
13 45 1
14 16 1
14 30 1
14 46 1
15 16 1
15 31 1
15 47 1
16 32 1
16 48 1
17 18 1
17 19 1
17 21 1
17 25 1
17 49 1
18 20 1
18 22 1
18 26 1
18 50 1
19 20 1
19 23 1
19 27 1
19 51 1
20 24 1
20 28 1
20 52 1
21 22 1
21 23 1
21 29 1
21 53 1
22 24 1
22 30 1
22 54 1
23 24 1
23 31 1
23 55 1
24 32 1
24 56 1
25 26 1
25 27 1
25 29 1
25 57 1
26 28 1
26 30 1
26 58 1
27 28 1
27 31 1
27 59 1
28 32 1
28 60 1
29 30 1
29 31 1
29 61 1
30 32 1
30 62 1
31 32 1
31 63 1
32 64 1
33 34 1
33 35 1
33 37 1
33 41 1
33 49 1
34 36 1
34 38 1
34 42 1
34 50 1
35 36 1
35 39 1
35 43 1
35 51 1
36 40 1
36 44 1
36 52 1
37 38 1
37 39 1
37 45 1
37 53 1
38 40 1
38 46 1
38 54 1
39 40 1
39 47 1
39 55 1
40 48 1
40 56 1
41 42 1
41 43 1
41 45 1
41 57 1
42 44 1
42 46 1
42 58 1
43 44 1
43 47 1
43 59 1
44 48 1
44 60 1
45 46 1
45 47 1
45 61 1
46 48 1
46 62 1
47 48 1
47 63 1
48 64 1
49 50 1
49 51 1
49 53 1
49 57 1
50 52 1
50 54 1
50 58 1
51 52 1
51 55 1
51 59 1
52 56 1
52 60 1
53 54 1
53 55 1
53 61 1
54 56 1
54 62 1
55 56 1
55 63 1
56 64 1
57 58 1
57 59 1
57 61 1
58 60 1
58 62 1
59 60 1
59 63 1
60 64 1
61 62 1
61 63 1
62 64 1
63 64 1
