70 560
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 16 1
1 17 1
1 18 1
1 19 1
1 36 1
1 37 1
1 38 1
1 39 1
2 3 1
2 4 1
2 5 1
2 6 1
2 10 1
2 11 1
2 12 1
2 16 1
2 20 1
2 21 1
2 22 1
2 36 1
2 40 1
2 41 1
2 42 1
3 4 1
3 5 1
3 7 1
3 10 1
3 13 1
3 14 1
3 17 1
3 20 1
3 23 1
3 24 1
3 37 1
3 40 1
3 43 1
3 44 1
4 5 1
4 8 1
4 11 1
4 13 1
4 15 1
4 18 1
4 21 1
4 23 1
4 25 1
4 38 1
4 41 1
4 43 1
4 45 1
5 9 1
5 12 1
5 14 1
5 15 1
5 19 1
5 22 1
5 24 1
5 25 1
5 39 1
5 42 1
5 44 1
5 45 1
6 7 1
6 8 1
6 9 1
6 10 1
6 11 1
6 12 1
6 16 1
6 26 1
6 27 1
6 28 1
6 36 1
6 46 1
6 47 1
6 48 1
7 8 1
7 9 1
7 10 1
7 13 1
7 14 1
7 17 1
7 26 1
7 29 1
7 30 1
7 37 1
7 46 1
7 49 1
7 50 1
8 9 1
8 11 1
8 13 1
8 15 1
8 18 1
8 27 1
8 29 1
8 31 1
8 38 1
8 47 1
8 49 1
8 51 1
9 12 1
9 14 1
9 15 1
9 19 1
9 28 1
9 30 1
9 31 1
9 39 1
9 48 1
9 50 1
9 51 1
10 11 1
10 12 1
10 13 1
10 14 1
10 20 1
10 26 1
10 32 1
10 33 1
10 40 1
10 46 1
10 52 1
10 53 1
11 12 1
11 13 1
11 15 1
11 21 1
11 27 1
11 32 1
11 34 1
11 41 1
11 47 1
11 52 1
11 54 1
12 14 1
12 15 1
12 22 1
12 28 1
12 33 1
12 34 1
12 42 1
12 48 1
12 53 1
12 54 1
13 14 1
13 15 1
13 23 1
13 29 1
13 32 1
13 35 1
13 43 1
13 49 1
13 52 1
13 55 1
14 15 1
14 24 1
14 30 1
14 33 1
14 35 1
14 44 1
14 50 1
14 53 1
14 55 1
15 25 1
15 31 1
15 34 1
15 35 1
15 45 1
15 51 1
15 54 1
15 55 1
16 17 1
16 18 1
16 19 1
16 20 1
16 21 1
16 22 1
16 26 1
16 27 1
16 28 1
16 36 1
16 56 1
16 57 1
16 58 1
17 18 1
17 19 1
17 20 1
17 23 1
17 24 1
17 26 1
17 29 1
17 30 1
17 37 1
17 56 1
17 59 1
17 60 1
18 19 1
18 21 1
18 23 1
18 25 1
18 27 1
18 29 1
18 31 1
18 38 1
18 57 1
18 59 1
18 61 1
19 22 1
19 24 1
19 25 1
19 28 1
19 30 1
19 31 1
19 39 1
19 58 1
19 60 1
19 61 1
20 21 1
20 22 1
20 23 1
20 24 1
20 26 1
20 32 1
20 33 1
20 40 1
20 56 1
20 62 1
20 63 1
21 22 1
21 23 1
21 25 1
21 27 1
21 32 1
21 34 1
21 41 1
21 57 1
21 62 1
21 64 1
22 24 1
22 25 1
22 28 1
22 33 1
22 34 1
22 42 1
22 58 1
22 63 1
22 64 1
23 24 1
23 25 1
23 29 1
23 32 1
23 35 1
23 43 1
23 59 1
23 62 1
23 65 1
24 25 1
24 30 1
24 33 1
24 35 1
24 44 1
24 60 1
24 63 1
24 65 1
25 31 1
25 34 1
25 35 1
25 45 1
25 61 1
25 64 1
25 65 1
26 27 1
26 28 1
26 29 1
26 30 1
26 32 1
26 33 1
26 46 1
26 56 1
26 66 1
26 67 1
27 28 1
27 29 1
27 31 1
27 32 1
27 34 1
27 47 1
27 57 1
27 66 1
27 68 1
28 30 1
28 31 1
28 33 1
28 34 1
28 48 1
28 58 1
28 67 1
28 68 1
29 30 1
29 31 1
29 32 1
29 35 1
29 49 1
29 59 1
29 66 1
29 69 1
30 31 1
30 33 1
30 35 1
30 50 1
30 60 1
30 67 1
30 69 1
31 34 1
31 35 1
31 51 1
31 61 1
31 68 1
31 69 1
32 33 1
32 34 1
32 35 1
32 52 1
32 62 1
32 66 1
32 70 1
33 34 1
33 35 1
33 53 1
33 63 1
33 67 1
33 70 1
34 35 1
34 54 1
34 64 1
34 68 1
34 70 1
35 55 1
35 65 1
35 69 1
35 70 1
36 37 1
36 38 1
36 39 1
36 40 1
36 41 1
36 42 1
36 46 1
36 47 1
36 48 1
36 56 1
36 57 1
36 58 1
37 38 1
37 39 1
37 40 1
37 43 1
37 44 1
37 46 1
37 49 1
37 50 1
37 56 1
37 59 1
37 60 1
38 39 1
38 41 1
38 43 1
38 45 1
38 47 1
38 49 1
38 51 1
38 57 1
38 59 1
38 61 1
39 42 1
39 44 1
39 45 1
39 48 1
39 50 1
39 51 1
39 58 1
39 60 1
39 61 1
40 41 1
40 42 1
40 43 1
40 44 1
40 46 1
40 52 1
40 53 1
40 56 1
40 62 1
40 63 1
41 42 1
41 43 1
41 45 1
41 47 1
41 52 1
41 54 1
41 57 1
41 62 1
41 64 1
42 44 1
42 45 1
42 48 1
42 53 1
42 54 1
42 58 1
42 63 1
42 64 1
43 44 1
43 45 1
43 49 1
43 52 1
43 55 1
43 59 1
43 62 1
43 65 1
44 45 1
44 50 1
44 53 1
44 55 1
44 60 1
44 63 1
44 65 1
45 51 1
45 54 1
45 55 1
45 61 1
45 64 1
45 65 1
46 47 1
46 48 1
46 49 1
46 50 1
46 52 1
46 53 1
46 56 1
46 66 1
46 67 1
47 48 1
47 49 1
47 51 1
47 52 1
47 54 1
47 57 1
47 66 1
47 68 1
48 50 1
48 51 1
48 53 1
48 54 1
48 58 1
48 67 1
48 68 1
49 50 1
49 51 1
49 52 1
49 55 1
49 59 1
49 66 1
49 69 1
50 51 1
50 53 1
50 55 1
50 60 1
50 67 1
50 69 1
51 54 1
51 55 1
51 61 1
51 68 1
51 69 1
52 53 1
52 54 1
52 55 1
52 62 1
52 66 1
52 70 1
53 54 1
53 55 1
53 63 1
53 67 1
53 70 1
54 55 1
54 64 1
54 68 1
54 70 1
55 65 1
55 69 1
55 70 1
56 57 1
56 58 1
56 59 1
56 60 1
56 62 1
56 63 1
56 66 1
56 67 1
57 58 1
57 59 1
57 61 1
57 62 1
57 64 1
57 66 1
57 68 1
58 60 1
58 61 1
58 63 1
58 64 1
58 67 1
58 68 1
59 60 1
59 61 1
59 62 1
59 65 1
59 66 1
59 69 1
60 61 1
60 63 1
60 65 1
60 67 1
60 69 1
61 64 1
61 65 1
61 68 1
61 69 1
62 63 1
62 64 1
62 65 1
62 66 1
62 70 1
63 64 1
63 65 1
63 67 1
63 70 1
64 65 1
64 68 1
64 70 1
65 69 1
65 70 1
66 67 1
66 68 1
66 69 1
66 70 1
67 68 1
67 69 1
67 70 1
68 69 1
68 70 1
69 70 1
