73 1314
1 2 1
1 4 1
1 6 1
1 8 1
1 10 1
1 12 1
1 14 1
1 16 1
1 18 1
1 20 1
1 22 1
1 24 1
1 26 1
1 28 1
1 30 1
1 32 1
1 34 1
1 36 1
1 38 1
1 40 1
1 42 1
1 44 1
1 46 1
1 48 1
1 50 1
1 52 1
1 54 1
1 56 1
1 58 1
1 60 1
1 62 1
1 64 1
1 66 1
1 68 1
1 70 1
1 72 1
2 3 1
2 4 1
2 8 1
2 10 1
2 11 1
2 12 1
2 14 1
2 18 1
2 19 1
2 21 1
2 23 1
2 29 1
2 30 1
2 32 1
2 33 1
2 35 1
2 38 1
2 39 1
2 44 1
2 45 1
2 46 1
2 49 1
2 51 1
2 58 1
2 59 1
2 61 1
2 62 1
2 63 1
2 64 1
2 66 1
2 67 1
2 68 1
2 69 1
2 71 1
2 72 1
3 6 1
3 7 1
3 8 1
3 10 1
3 14 1
3 16 1
3 17 1
3 18 1
3 21 1
3 23 1
3 25 1
3 26 1
3 27 1
3 28 1
3 29 1
3 32 1
3 35 1
3 37 1
3 38 1
3 41 1
3 42 1
3 43 1
3 44 1
3 48 1
3 49 1
3 51 1
3 53 1
3 54 1
3 55 1
3 56 1
3 57 1
3 58 1
3 61 1
3 66 1
3 71 1
4 5 1
4 6 1
4 10 1
4 12 1
4 13 1
4 14 1
4 16 1
4 20 1
4 21 1
4 23 1
4 25 1
4 31 1
4 32 1
4 34 1
4 35 1
4 37 1
4 40 1
4 41 1
4 46 1
4 47 1
4 48 1
4 51 1
4 53 1
4 60 1
4 61 1
4 63 1
4 64 1
4 65 1
4 66 1
4 68 1
4 69 1
4 70 1
4 71 1
4 73 1
5 8 1
5 9 1
5 10 1
5 12 1
5 16 1
5 18 1
5 19 1
5 20 1
5 23 1
5 25 1
5 27 1
5 28 1
5 29 1
5 30 1
5 31 1
5 34 1
5 37 1
5 39 1
5 40 1
5 43 1
5 44 1
5 45 1
5 46 1
5 50 1
5 51 1
5 53 1
5 55 1
5 56 1
5 57 1
5 58 1
5 59 1
5 60 1
5 63 1
5 68 1
5 73 1
6 7 1
6 8 1
6 12 1
6 14 1
6 15 1
6 16 1
6 18 1
6 22 1
6 23 1
6 25 1
6 27 1
6 33 1
6 34 1
6 36 1
6 37 1
6 39 1
6 42 1
6 43 1
6 48 1
6 49 1
6 50 1
6 53 1
6 55 1
6 62 1
6 63 1
6 65 1
6 66 1
6 67 1
6 68 1
6 70 1
6 71 1
6 72 1
6 73 1
7 10 1
7 11 1
7 12 1
7 14 1
7 18 1
7 20 1
7 21 1
7 22 1
7 25 1
7 27 1
7 29 1
7 30 1
7 31 1
7 32 1
7 33 1
7 36 1
7 39 1
7 41 1
7 42 1
7 45 1
7 46 1
7 47 1
7 48 1
7 52 1
7 53 1
7 55 1
7 57 1
7 58 1
7 59 1
7 60 1
7 61 1
7 62 1
7 65 1
7 70 1
8 9 1
8 10 1
8 14 1
8 16 1
8 17 1
8 18 1
8 20 1
8 24 1
8 25 1
8 27 1
8 29 1
8 35 1
