200 5970
1 5 1
1 7 1
1 9 1
1 22 1
1 26 1
1 31 1
1 33 1
1 35 1
1 37 1
1 38 1
1 41 1
1 50 1
1 53 1
1 62 1
1 65 1
1 78 1
1 82 1
1 86 1
1 87 1
1 90 1
1 91 1
1 95 1
1 98 1
1 101 1
1 102 1
1 106 1
1 107 1
1 113 1
1 117 1
1 119 1
1 125 1
1 126 1
1 127 1
1 136 1
1 137 1
1 142 1
1 143 1
1 144 1
1 145 1
1 152 1
1 153 1
1 158 1
1 159 1
1 166 1
1 167 1
1 168 1
1 174 1
1 176 1
1 178 1
1 180 1
1 182 1
1 183 1
1 184 1
1 190 1
1 192 1
1 193 1
1 195 1
1 199 1
2 16 1
2 17 1
2 19 1
2 26 1
2 33 1
2 34 1
2 43 1
2 50 1
2 56 1
2 62 1
2 74 1
2 78 1
2 86 1
2 90 1
2 94 1
2 95 1
2 102 1
2 105 1
2 108 1
2 111 1
2 113 1
2 118 1
2 126 1
2 129 1
2 142 1
2 144 1
2 158 1
2 166 1
2 168 1
2 173 1
2 175 1
2 179 1
2 192 1
2 199 1
2 200 1
3 7 1
3 15 1
3 22 1
3 25 1
3 26 1
3 33 1
3 37 1
3 41 1
3 45 1
3 48 1
3 49 1
3 57 1
3 60 1
3 62 1
3 65 1
3 67 1
3 69 1
3 74 1
3 91 1
3 98 1
3 101 1
3 102 1
3 103 1
3 105 1
3 106 1
3 107 1
3 113 1
3 117 1
3 120 1
3 136 1
3 137 1
3 141 1
3 142 1
3 143 1
3 145 1
3 148 1
3 152 1
3 166 1
3 179 1
3 182 1
3 190 1
3 194 1
3 199 1
4 12 1
4 16 1
4 19 1
4 21 1
4 22 1
4 25 1
4 28 1
4 29 1
4 33 1
4 41 1
4 44 1
4 45 1
4 50 1
4 53 1
4 62 1
4 64 1
4 69 1
4 74 1
4 78 1
4 81 1
4 85 1
4 86 1
4 91 1
4 93 1
4 95 1
4 98 1
4 100 1
4 105 1
4 112 1
4 113 1
4 116 1
4 126 1
4 127 1
4 136 1
4 142 1
4 143 1
4 144 1
4 145 1
4 158 1
4 163 1
4 167 1
4 168 1
4 170 1
4 172 1
4 173 1
4 175 1
4 177 1
4 182 1
4 183 1
4 186 1
4 190 1
4 195 1
5 8 1
5 9 1
5 10 1
5 11 1
5 15 1
5 18 1
5 20 1
5 21 1
5 24 1
5 28 1
5 29 1
5 30 1
5 33 1
5 36 1
5 42 1
5 43 1
5 47 1
5 48 1
5 49 1
5 51 1
5 56 1
5 57 1
5 62 1
5 63 1
5 65 1
5 66 1
5 67 1
5 68 1
5 69 1
5 70 1
5 71 1
5 73 1
5 75 1
5 77 1
5 79 1
5 85 1
5 87 1
5 88 1
5 89 1
5 92 1
5 94 1
5 96 1
5 97 1
5 99 1
5 100 1
5 104 1
5 108 1
5 109 1
5 112 1
5 115 1
5 119 1
5 121 1
5 123 1
5 124 1
5 127 1
5 129 1
5 130 1
5 131 1
5 132 1
5 134 1
5 138 1
5 147 1
5 149 1
5 151 1
5 153 1
5 155 1
5 157 1
5 159 1
5 161 1
5 162 1
5 164 1
5 166 1
5 170 1
5 171 1
5 179 1
5 183 1
5 184 1
5 186 1
5 187 1
5 189 1
5 191 1
5 200 1
6 7 1
6 10 1
6 14 1
6 19 1
6 25 1
6 27 1
6 28 1
6 33 1
6 38 1
6 39 1
6 41 1
6 42 1
6 45 1
6 53 1
6 59 1
6 62 1
6 65 1
6 69 1
6 78 1
6 83 1
6 86 1
6 90 1
6 91 1
6 93 1
6 98 1
6 99 1
6 101 1
6 102 1
6 106 1
6 107 1
6 113 1
6 115 1
6 126 1
6 136 1
6 142 1
6 143 1
6 144 1
6 145 1
6 149 1
6 158 1
6 166 1
6 167 1
6 169 1
6 173 1
6 182 1
6 183 1
6 186 1
6 190 1
6 195 1
6 196 1
7 9 1
7 10 1
7 11 1
7 13 1
7 15 1
7 17 1
7 18 1
7 20 1
7 21 1
7 24 1
7 27 1
7 29 1
7 30 1
7 31 1
7 32 1
7 34 1
7 38 1
7 41 1
7 43 1
7 47 1
7 51 1
7 54 1
7 58 1
7 60 1
7 61 1
7 66 1
7 67 1
7 68 1
7 70 1
7 71 1
7 75 1
7 77 1
7 78 1
7 79 1
7 81 1
7 85 1
7 88 1
7 92 1
7 95 1
7 96 1
7 97 1
7 104 1
7 108 1
7 109 1
7 110 1
7 111 1
7 116 1
7 118 1
7 119 1
7 120 1
7 121 1
7 124 1
7 129 1
7 130 1
7 133 1
7 134 1
7 135 1
7 139 1
7 140 1
7 141 1
7 144 1
7 146 1
7 147 1
7 148 1
7 149 1
7 150 1
7 156 1
7 157 1
7 159 1
7 160 1
7 161 1
7 162 1
7 163 1
7 164 1
7 168 1
7 169 1
7 170 1
7 172 1
7 173 1
7 176 1
7 180 1
7 181 1
7 185 1
7 187 1
7 191 1
7 192 1
7 194 1
7 197 1
8 11 1
