dataset,instance,file,vertices,best_known,upper_bound
DIMACS,brock200_1,brock200_1.clq,200,21,21
DIMACS,brock200_2,brock200_2.clq,200,12,12
DIMACS,brock200_3,brock200_3.clq,200,15,15
DIMACS,brock200_4,brock200_4.clq,200,17,17
DIMACS,brock400_1,brock400_1.clq,400,27,27
DIMACS,brock400_2,brock400_2.clq,400,29,29
DIMACS,brock400_3,brock400_3.clq,400,31,31
DIMACS,brock400_4,brock400_4.clq,400,33,33
DIMACS,brock800_1,brock800_1.clq,800,23,23
DIMACS,brock800_2,brock800_2.clq,800,24,24
DIMACS,brock800_3,brock800_3.clq,800,25,25
DIMACS,brock800_4,brock800_4.clq,800,26,26
DIMACS,C125.9,C125.9.clq,125,34,34
DIMACS,C250.9,C250.9.clq,250,44,44
DIMACS,C500.9,C500.9.clq,500,57,
DIMACS,C1000.9,C1000.9.clq,1000,68,
DIMACS,C2000.5,C2000.5.clq,2000,16,16
DIMACS,C2000.9,C2000.9.clq,2000,80,
DIMACS,C4000.5,C4000.5.clq,4000,18,18
DIMACS,DSJC500.5,DSJC500.5.clq,500,13,13
DIMACS,DSJC1000.5,DSJC1000.5.clq,1000,15,15
DIMACS,keller4,keller4.clq,171,11,11
DIMACS,keller5,keller5.clq,776,27,27
DIMACS,keller6,keller6.clq,3361,59,59
DIMACS,MANN_a9,MANN_a9.clq,45,16,16
DIMACS,MANN_a27,MANN_a27.clq,378,126,126
DIMACS,MANN_a45,MANN_a45.clq,1035,345,345
DIMACS,MANN_a81,MANN_a81.clq,3321,1100,1100
DIMACS,hamming6-2,hamming6-2.clq,64,32,32
DIMACS,hamming6-4,hamming6-4.clq,64,4,4
DIMACS,hamming8-2,hamming8-2.clq,256,128,128
DIMACS,hamming8-4,hamming8-4.clq,256,16,16
DIMACS,hamming10-2,hamming10-2.clq,1024,512,512
DIMACS,hamming10-4,hamming10-4.clq,1024,40,40
DIMACS,gen200-p0.9-44,gen200-p0.9-44.clq,200,44,44
DIMACS,gen200-p0.9-55,gen200-p0.9-55.clq,200,55,55
DIMACS,gen400-p0.9-55,gen400-p0.9-55.clq,400,55,55
DIMACS,gen400-p0.9-65,gen400-p0.9-65.clq,400,65,65
DIMACS,gen400-p0.9-75,gen400-p0.9-75.clq,400,75,75
DIMACS,c-fat200-1,c-fat200-1.clq,200,12,12
DIMACS,c-fat200-2,c-fat200-2.clq,200,24,24
DIMACS,c-fat200-5,c-fat200-5.clq,200,58,58
DIMACS,c-fat500-1,c-fat500-1.clq,500,14,14
DIMACS,c-fat500-2,c-fat500-2.clq,500,26,26
DIMACS,c-fat500-5,c-fat500-5.clq,500,64,64
