200 6811
1 2 1
1 4 1
1 9 1
1 10 1
1 14 1
1 18 1
1 19 1
1 25 1
1 34 1
1 42 1
1 43 1
1 45 1
1 49 1
1 51 1
1 55 1
1 57 1
1 59 1
1 66 1
1 67 1
1 69 1
1 70 1
1 78 1
1 81 1
1 83 1
1 87 1
1 89 1
1 92 1
1 94 1
1 97 1
1 100 1
1 109 1
1 111 1
1 115 1
1 117 1
1 119 1
1 120 1
1 121 1
1 125 1
1 126 1
1 131 1
1 133 1
1 134 1
1 137 1
1 139 1
1 140 1
1 142 1
1 143 1
1 144 1
1 149 1
1 153 1
1 155 1
1 157 1
1 163 1
1 165 1
1 168 1
1 171 1
1 174 1
1 176 1
1 177 1
1 181 1
1 182 1
1 186 1
1 188 1
1 197 1
1 200 1
2 3 1
2 4 1
2 5 1
2 11 1
2 15 1
2 18 1
2 19 1
2 20 1
2 22 1
2 24 1
2 25 1
2 26 1
2 30 1
2 32 1
2 37 1
2 40 1
2 41 1
2 45 1
2 48 1
2 51 1
2 55 1
2 67 1
2 68 1
2 70 1
2 71 1
2 75 1
2 76 1
2 80 1
2 82 1
2 86 1
2 87 1
2 89 1
2 93 1
2 95 1
2 113 1
2 114 1
2 116 1
2 122 1
2 123 1
2 124 1
2 126 1
2 127 1
2 129 1
2 136 1
2 139 1
2 140 1
2 144 1
2 149 1
2 150 1
2 152 1
2 157 1
2 160 1
2 162 1
2 163 1
2 166 1
2 167 1
2 171 1
2 176 1
2 177 1
2 180 1
2 181 1
2 183 1
2 186 1
2 187 1
2 193 1
2 200 1
3 7 1
3 9 1
3 12 1
3 14 1
3 19 1
3 21 1
3 24 1
3 32 1
3 34 1
3 36 1
3 38 1
3 42 1
3 44 1
3 46 1
3 47 1
3 49 1
3 50 1
3 56 1
3 58 1
3 62 1
3 65 1
3 67 1
3 70 1
3 75 1
3 77 1
3 87 1
3 88 1
3 92 1
3 93 1
3 96 1
3 97 1
3 102 1
3 103 1
3 105 1
3 110 1
3 114 1
3 116 1
3 121 1
3 122 1
3 123 1
3 125 1
3 126 1
3 130 1
3 131 1
3 136 1
3 139 1
3 145 1
3 148 1
3 149 1
3 150 1
3 151 1
3 153 1
3 158 1
3 159 1
3 166 1
3 167 1
3 170 1
3 171 1
3 172 1
3 173 1
3 177 1
3 184 1
3 187 1
3 188 1
3 189 1
3 198 1
4 5 1
4 6 1
4 9 1
4 10 1
4 11 1
4 16 1
4 21 1
4 22 1
4 26 1
4 28 1
4 30 1
4 31 1
4 32 1
4 36 1
4 37 1
4 43 1
4 47 1
4 48 1
4 50 1
4 54 1
4 57 1
4 62 1
4 67 1
4 70 1
4 72 1
4 74 1
4 76 1
4 77 1
4 83 1
4 84 1
4 86 1
4 88 1
4 90 1
4 96 1
4 97 1
4 99 1
4 101 1
4 104 1
4 111 1
4 114 1
4 115 1
4 117 1
4 127 1
4 129 1
4 130 1
4 132 1
4 134 1
4 137 1
4 140 1
4 143 1
4 146 1
4 147 1
4 151 1
4 152 1
4 153 1
4 156 1
4 159 1
