800 112267
1 2 1
1 3 1
1 5 1
1 10 1
1 11 1
1 13 1
1 15 1
1 22 1
1 24 1
1 25 1
1 28 1
1 29 1
1 30 1
1 44 1
1 46 1
1 53 1
1 54 1
1 55 1
1 56 1
1 57 1
1 59 1
1 63 1
1 64 1
1 66 1
1 70 1
1 71 1
1 75 1
1 78 1
1 84 1
1 86 1
1 88 1
1 92 1
1 95 1
1 107 1
1 111 1
1 114 1
1 115 1
1 116 1
1 118 1
1 123 1
1 124 1
1 125 1
1 127 1
1 128 1
1 129 1
1 131 1
1 132 1
1 138 1
1 140 1
1 141 1
1 143 1
1 144 1
1 148 1
1 150 1
1 152 1
1 155 1
1 157 1
1 158 1
1 160 1
1 164 1
1 165 1
1 166 1
1 168 1
1 171 1
1 181 1
1 182 1
1 183 1
1 185 1
1 191 1
1 193 1
1 197 1
1 198 1
1 204 1
1 207 1
1 209 1
1 217 1
1 222 1
1 224 1
1 228 1
1 231 1
1 234 1
1 235 1
1 236 1
1 237 1
1 238 1
1 239 1
1 240 1
1 247 1
1 253 1
1 259 1
1 265 1
1 267 1
1 268 1
1 272 1
1 278 1
1 280 1
1 282 1
1 287 1
1 288 1
1 290 1
1 293 1
1 295 1
1 297 1
1 299 1
1 302 1
1 303 1
1 305 1
1 307 1
1 309 1
1 310 1
1 312 1
1 319 1
1 321 1
1 325 1
1 329 1
1 330 1
1 332 1
1 342 1
1 343 1
1 345 1
1 350 1
1 353 1
1 354 1
1 355 1
1 356 1
1 357 1
1 358 1
1 359 1
1 361 1
1 363 1
1 369 1
1 371 1
1 372 1
1 375 1
1 376 1
1 380 1
1 383 1
1 384 1
1 388 1
1 389 1
1 391 1
1 396 1
1 397 1
1 398 1
1 399 1
1 402 1
1 404 1
1 410 1
1 416 1
1 417 1
1 418 1
1 419 1
1 430 1
1 435 1
1 441 1
1 442 1
1 443 1
1 444 1
1 446 1
1 447 1
1 449 1
1 454 1
1 457 1
1 458 1
1 462 1
1 463 1
1 464 1
1 465 1
1 468 1
1 469 1
1 473 1
1 475 1
1 478 1
1 482 1
1 483 1
1 485 1
1 488 1
1 489 1
1 492 1
1 493 1
1 494 1
1 498 1
1 499 1
1 500 1
1 501 1
1 502 1
1 508 1
1 511 1
1 517 1
1 522 1
1 524 1
1 525 1
1 528 1
1 529 1
1 530 1
1 536 1
1 537 1
1 540 1
1 541 1
1 542 1
1 544 1
1 554 1
1 556 1
1 559 1
1 562 1
1 568 1
1 572 1
1 576 1
1 579 1
1 580 1
1 581 1
1 583 1
1 585 1
1 587 1
1 590 1
1 593 1
1 598 1
1 602 1
1 603 1
1 606 1
1 607 1
1 608 1
1 614 1
1 615 1
1 616 1
1 617 1
1 623 1
1 626 1
1 629 1
1 630 1
1 633 1
1 634 1
1 636 1
1 639 1
1 640 1
1 641 1
1 644 1
1 645 1
1 646 1
1 652 1
1 654 1
1 655 1
1 658 1
1 660 1
1 664 1
1 680 1
1 681 1
1 682 1
1 683 1
1 686 1
1 694 1
1 695 1
1 697 1
1 702 1
1 707 1
1 708 1
1 711 1
1 712 1
1 719 1
1 727 1
1 728 1
1 732 1
1 733 1
1 738 1
1 740 1
1 741 1
1 744 1
1 745 1
1 751 1
1 752 1
1 754 1
1 757 1
1 759 1
1 763 1
1 765 1
1 768 1
1 772 1
1 773 1
1 778 1
1 780 1
1 781 1
1 782 1
1 785 1
1 786 1
1 788 1
1 789 1
1 790 1
1 793 1
1 794 1
1 796 1
1 797 1
2 6 1
2 7 1
2 11 1
2 12 1
2 14 1
2 15 1
2 17 1
2 31 1
2 34 1
2 35 1
2 36 1
2 44 1
2 49 1
2 50 1
2 51 1
2 53 1
2 56 1
2 59 1
2 60 1
2 63 1
2 64 1
2 66 1
2 74 1
2 75 1
2 78 1
2 82 1
2 84 1
2 86 1
2 88 1
2 93 1
2 94 1
2 97 1
2 100 1
2 102 1
2 111 1
2 112 1
2 114 1
2 116 1
2 117 1
2 118 1
2 121 1
2 122 1
2 124 1
2 126 1
2 131 1
2 138 1
2 139 1
2 145 1
2 146 1
2 147 1
2 148 1
2 149 1
2 150 1
2 152 1
2 153 1
2 154 1
2 161 1
2 162 1
2 164 1
2 167 1
2 169 1
2 171 1
2 174 1
2 175 1
2 178 1
2 182 1
2 184 1
2 186 1
2 195 1
2 201 1
2 205 1
2 206 1
2 207 1
2 208 1
2 210 1
2 211 1
2 218 1
2 220 1
2 223 1
2 227 1
2 230 1
2 233 1
2 238 1
2 239 1
2 242 1
2 248 1
2 251 1
2 253 1
2 256 1
2 260 1
2 261 1
2 263 1
2 266 1
2 271 1
2 273 1
2 275 1
2 277 1
2 279 1
2 281 1
2 285 1
2 286 1
2 289 1
2 291 1
2 293 1
2 294 1
2 295 1
2 296 1
2 300 1
2 301 1
2 302 1
2 303 1
2 304 1
2 305 1
2 306 1
2 307 1
2 308 1
2 309 1
2 316 1
2 317 1
2 322 1
2 323 1
2 327 1
2 329 1
2 330 1
2 333 1
2 334 1
2 335 1
2 336 1
2 339 1
2 340 1
2 341 1
2 343 1
2 347 1
2 348 1
2 350 1
2 357 1
2 358 1
2 363 1
2 367 1
2 370 1
2 372 1
2 374 1
2 383 1
2 384 1
2 385 1
2 387 1
2 393 1
2 396 1
2 398 1
2 399 1
2 400 1
2 401 1
2 402 1
2 405 1
2 406 1
2 407 1
2 408 1
2 409 1
2 410 1
2 415 1
2 416 1
2 420 1
2 422 1
2 424 1
2 429 1
2 431 1
2 432 1
2 435 1
2 437 1
2 443 1
2 444 1
2 449 1
2 450 1
2 455 1
2 458 1
2 462 1
2 465 1
2 471 1
2 475 1
2 476 1
2 478 1
2 481 1
2 482 1
2 483 1
2 486 1
2 487 1
2 488 1
2 492 1
2 494 1
2 498 1
2 503 1
2 504 1
2 508 1
2 524 1
2 527 1
2 528 1
2 529 1
2 537 1
2 542 1
2 544 1
2 546 1
2 547 1
2 548 1
2 549 1
2 550 1
2 561 1
2 562 1
2 563 1
2 566 1
2 567 1
2 570 1
2 571 1
2 575 1
2 577 1
2 578 1
2 581 1
2 584 1
2 585 1
2 587 1
2 590 1
2 592 1
2 593 1
2 594 1
2 596 1
2 597 1
2 600 1
2 607 1
2 610 1
2 613 1
2 617 1
2 618 1
2 619 1
2 621 1
2 622 1
2 627 1
2 628 1
2 629 1
2 630 1
2 634 1
2 636 1
2 637 1
2 638 1
2 641 1
2 643 1
2 646 1
2 647 1
2 648 1
2 649 1
2 650 1
2 654 1
2 658 1
2 659 1
2 660 1
2 662 1
2 666 1
2 668 1
2 673 1
2 681 1
2 692 1
2 706 1
2 708 1
2 709 1
2 712 1
2 714 1
2 722 1
2 724 1
2 725 1
2 727 1
2 732 1
2 736 1
2 743 1
2 745 1
2 748 1
2 749 1
2 751 1
2 752 1
2 753 1
2 755 1
2 757 1
2 758 1
2 760 1
2 761 1
2 768 1
2 771 1
2 772 1
2 773 1
2 774 1
2 778 1
2 780 1
2 785 1
2 786 1
2 789 1
2 793 1
2 795 1
2 797 1
2 799 1
3 5 1
3 6 1
3 7 1
3 8 1
3 10 1
3 13 1
3 17 1
3 21 1
3 22 1
3 23 1
3 26 1
3 27 1
3 30 1
3 36 1
3 38 1
3 40 1
3 41 1
3 43 1
3 44 1
3 53 1
3 60 1
3 64 1
3 68 1
3 70 1
3 74 1
3 79 1
3 80 1
3 86 1
3 93 1
3 95 1
3 96 1
3 101 1
3 110 1
3 111 1
3 114 1
3 117 1
3 125 1
3 128 1
3 131 1
3 134 1
3 142 1
3 143 1
3 145 1
3 146 1
3 147 1
3 154 1
3 161 1
3 162 1
3 165 1
3 169 1
3 172 1
3 173 1
3 176 1
3 182 1
3 187 1
3 189 1
3 194 1
3 195 1
3 197 1
3 198 1
3 202 1
3 204 1
3 211 1
3 213 1
3 216 1
3 217 1
3 223 1
3 224 1
3 225 1
3 236 1
3 240 1
3 241 1
3 243 1
3 245 1
3 246 1
3 252 1
3 255 1
3 256 1
3 258 1
3 262 1
3 264 1
3 266 1
3 273 1
3 277 1
3 283 1
3 285 1
3 289 1
3 292 1
3 297 1
3 298 1
3 299 1
3 301 1
3 303 1
3 311 1
3 312 1
3 313 1
3 316 1
3 318 1
3 322 1
3 325 1
3 334 1
3 335 1
3 336 1
3 343 1
3 344 1
3 358 1
3 362 1
3 363 1
3 364 1
3 365 1
3 372 1
3 375 1
3 376 1
3 377 1
3 382 1
3 384 1
3 385 1
3 387 1
3 394 1
3 400 1
3 405 1
3 406 1
3 412 1
3 414 1
3 421 1
3 424 1
3 429 1
3 431 1
3 436 1
3 437 1
3 440 1
3 441 1
3 444 1
3 445 1
3 449 1
3 451 1
3 453 1
3 455 1
3 459 1
3 463 1
3 464 1
3 468 1
3 469 1
3 473 1
3 474 1
3 476 1
3 477 1
3 480 1
3 483 1
3 488 1
3 491 1
3 501 1
3 503 1
3 508 1
3 513 1
3 516 1
3 518 1
3 523 1
3 525 1
3 528 1
3 529 1
3 532 1
3 533 1
3 535 1
3 537 1
3 539 1
3 540 1
3 541 1
3 542 1
3 543 1
3 544 1
3 545 1
3 548 1
3 558 1
3 559 1
3 562 1
3 564 1
3 566 1
3 572 1
3 575 1
3 580 1
3 584 1
3 586 1
3 588 1
3 591 1
3 598 1
3 605 1
3 607 1
3 609 1
3 611 1
3 615 1
3 618 1
3 627 1
3 632 1
3 633 1
3 634 1
3 637 1
3 642 1
3 645 1
3 647 1
3 655 1
3 656 1
3 661 1
3 666 1
3 672 1
3 673 1
3 675 1
3 682 1
3 684 1
3 685 1
3 686 1
3 687 1
3 689 1
3 696 1
3 697 1
3 698 1
3 701 1
3 702 1
3 705 1
3 707 1
3 708 1
3 709 1
3 711 1
3 712 1
3 715 1
3 717 1
3 718 1
3 720 1
3 721 1
3 722 1
3 736 1
3 740 1
3 742 1
3 743 1
3 746 1
3 748 1
3 753 1
3 757 1
3 758 1
3 761 1
3 763 1
3 767 1
3 768 1
3 772 1
3 776 1
3 777 1
3 778 1
3 780 1
3 784 1
3 785 1
3 789 1
3 797 1
3 799 1
4 5 1
4 6 1
4 10 1
4 16 1
4 17 1
4 27 1
4 28 1
4 29 1
4 30 1
4 33 1
4 36 1
4 38 1
4 42 1
4 49 1
4 50 1
4 51 1
4 52 1
4 57 1
4 58 1
4 59 1
4 61 1
4 62 1
4 66 1
4 67 1
4 68 1
4 69 1
4 74 1
4 75 1
4 77 1
4 93 1
4 94 1
4 96 1
4 99 1
4 100 1
4 101 1
4 104 1
4 106 1
4 108 1
4 112 1
4 113 1
4 115 1
4 117 1
4 119 1
4 120 1
4 121 1
4 123 1
4 126 1
4 129 1
4 132 1
4 133 1
4 135 1
4 138 1
4 142 1
4 146 1
4 147 1
4 149 1
4 150 1
4 151 1
4 153 1
4 157 1
4 160 1
4 163 1
4 164 1
4 166 1
4 172 1
4 173 1
4 176 1
4 177 1
4 179 1
4 180 1
4 182 1
4 187 1
4 191 1
4 195 1
4 201 1
4 203 1
4 204 1
4 205 1
4 206 1
4 207 1
4 210 1
4 211 1
4 212 1
4 215 1
4 216 1
4 221 1
4 226 1
4 229 1
4 230 1
4 231 1
4 234 1
4 235 1
4 247 1
4 248 1
4 251 1
4 266 1
4 270 1
4 271 1
4 276 1
4 278 1
4 280 1
4 288 1
4 290 1
4 298 1
4 306 1
4 309 1
4 311 1
4 316 1
4 318 1
4 319 1
4 322 1
4 324 1
4 327 1
4 329 1
4 330 1
4 331 1
4 334 1
4 336 1
4 339 1
4 340 1
4 342 1
4 343 1
4 346 1
4 347 1
4 348 1
4 354 1
4 356 1
4 361 1
4 365 1
4 369 1
4 372 1
4 377 1
4 383 1
4 387 1
4 389 1
4 390 1
4 394 1
4 396 1
4 398 1
4 400 1
4 403 1
4 408 1
4 410 1
4 411 1
4 412 1
4 415 1
4 416 1
4 417 1
4 418 1
4 420 1
4 421 1
4 424 1
4 425 1
4 426 1
4 427 1
4 430 1
4 436 1
4 437 1
4 440 1
4 441 1
4 442 1
4 443 1
4 444 1
4 445 1
4 454 1
4 457 1
4 459 1
4 464 1
4 465 1
4 467 1
4 468 1
4 469 1
4 470 1
4 471 1
4 482 1
4 485 1
4 488 1
4 500 1
4 501 1
4 504 1
4 510 1
4 513 1
4 517 1
4 523 1
4 525 1
4 527 1
4 528 1
4 534 1
4 536 1
4 541 1
4 542 1
4 543 1
4 545 1
4 552 1
4 554 1
4 560 1
4 565 1
4 566 1
4 570 1
4 573 1
4 576 1
4 577 1
4 580 1
4 581 1
4 583 1
4 584 1
4 585 1
4 587 1
4 590 1
4 591 1
4 596 1
4 598 1
4 599 1
4 600 1
4 605 1
4 607 1
4 609 1
4 610 1
4 612 1
4 615 1
4 616 1
4 619 1
4 624 1
4 627 1
4 628 1
4 629 1
4 632 1
4 639 1
4 646 1
4 648 1
4 649 1
4 653 1
4 655 1
4 657 1
4 661 1
4 665 1
4 670 1
4 676 1
4 677 1
4 680 1
4 681 1
4 682 1
4 685 1
4 686 1
4 687 1
4 688 1
4 691 1
4 703 1
4 704 1
4 706 1
4 711 1
4 712 1
4 715 1
4 717 1
4 718 1
4 719 1
4 721 1
4 724 1
4 725 1
4 727 1
4 728 1
4 730 1
4 732 1
4 734 1
4 737 1
4 740 1
4 745 1
4 746 1
4 752 1
4 753 1
4 755 1
4 756 1
4 764 1
4 766 1
4 772 1
4 776 1
4 778 1
4 781 1
4 783 1
4 787 1
4 788 1
4 790 1
4 791 1
4 793 1
4 800 1
5 10 1
5 15 1
5 17 1
5 20 1
5 21 1
5 22 1
5 25 1
5 27 1
5 29 1
5 31 1
5 36 1
5 43 1
5 50 1
5 54 1
5 55 1
5 57 1
5 62 1
5 65 1
5 66 1
5 67 1
5 68 1
5 70 1
5 75 1
5 78 1
5 83 1
5 87 1
5 89 1
5 93 1
5 94 1
5 96 1
5 98 1
5 99 1
5 100 1
5 103 1
5 105 1
5 106 1
5 107 1
5 111 1
5 113 1
5 114 1
5 115 1
5 116 1
5 118 1
5 125 1
5 127 1
5 128 1
5 130 1
5 131 1
5 133 1
5 134 1
5 135 1
5 139 1
5 140 1
5 144 1
5 146 1
5 148 1
5 150 1
5 154 1
5 156 1
5 158 1
5 159 1
5 160 1
5 161 1
5 164 1
5 172 1
5 176 1
5 181 1
5 187 1
5 188 1
5 189 1
5 190 1
5 195 1
5 199 1
5 204 1
5 205 1
5 210 1
5 211 1
5 212 1
5 213 1
5 216 1
5 217 1
5 224 1
5 226 1
5 227 1
5 235 1
5 237 1
5 240 1
5 241 1
5 245 1
5 247 1
5 251 1
5 253 1
5 254 1
5 258 1
5 259 1
5 261 1
5 262 1
5 265 1
5 272 1
5 273 1
5 276 1
5 277 1
5 281 1
5 287 1
5 289 1
5 290 1
5 295 1
5 296 1
5 297 1
5 299 1
5 304 1
5 310 1
5 313 1
5 314 1
5 316 1
5 317 1
5 319 1
5 320 1
5 324 1
5 328 1
5 330 1
5 332 1
5 340 1
5 341 1
5 344 1
5 346 1
5 348 1
5 349 1
5 358 1
5 359 1
5 361 1
5 363 1
5 371 1
5 374 1
5 375 1
5 376 1
5 377 1
5 379 1
5 383 1
5 391 1
5 396 1
5 399 1
5 400 1
5 405 1
5 408 1
5 414 1
5 417 1
5 419 1
5 420 1
5 426 1
5 427 1
5 428 1
5 429 1
5 432 1
5 433 1
5 438 1
5 440 1
5 442 1
5 443 1
5 448 1
5 451 1
5 453 1
5 456 1
5 461 1
5 462 1
5 464 1
5 465 1
5 466 1
5 467 1
5 470 1
5 480 1
5 486 1
5 487 1
5 488 1
5 491 1
5 493 1
5 497 1
5 503 1
5 505 1
5 506 1
5 507 1
5 511 1
5 513 1
5 519 1
5 525 1
5 529 1
5 531 1
5 532 1
5 535 1
5 536 1
5 537 1
5 538 1
5 543 1
5 544 1
5 546 1
5 550 1
5 551 1
5 552 1
5 555 1
5 557 1
5 564 1
5 566 1
