200 11427
1 3 1
1 4 1
1 5 1
1 6 1
1 10 1
1 11 1
1 12 1
1 13 1
1 17 1
1 18 1
1 19 1
1 20 1
1 24 1
1 25 1
1 26 1
1 27 1
1 31 1
1 32 1
1 33 1
1 34 1
1 38 1
1 39 1
1 40 1
1 41 1
1 45 1
1 46 1
1 47 1
1 48 1
1 52 1
1 53 1
1 54 1
1 55 1
1 59 1
1 60 1
1 61 1
1 62 1
1 66 1
1 67 1
1 68 1
1 69 1
1 73 1
1 74 1
1 75 1
1 76 1
1 80 1
1 81 1
1 82 1
1 83 1
1 87 1
1 88 1
1 89 1
1 90 1
1 94 1
1 95 1
1 96 1
1 97 1
1 101 1
1 102 1
1 103 1
1 104 1
1 108 1
1 109 1
1 110 1
1 111 1
1 115 1
1 116 1
1 117 1
1 118 1
1 122 1
1 123 1
1 124 1
1 125 1
1 129 1
1 130 1
1 131 1
1 132 1
1 136 1
1 137 1
1 138 1
1 139 1
1 143 1
1 144 1
1 145 1
1 146 1
1 150 1
1 151 1
1 152 1
1 153 1
1 157 1
1 158 1
1 159 1
1 160 1
1 164 1
1 165 1
1 166 1
1 167 1
1 171 1
1 172 1
1 173 1
1 174 1
1 178 1
1 179 1
1 180 1
1 181 1
1 185 1
1 186 1
1 187 1
1 188 1
1 192 1
1 193 1
1 194 1
1 195 1
1 199 1
1 200 1
2 4 1
2 5 1
2 6 1
2 7 1
2 11 1
2 12 1
2 13 1
2 14 1
2 18 1
2 19 1
2 20 1
2 21 1
2 25 1
2 26 1
2 27 1
2 28 1
2 32 1
2 33 1
2 34 1
2 35 1
2 39 1
2 40 1
2 41 1
2 42 1
2 46 1
2 47 1
2 48 1
2 49 1
2 53 1
2 54 1
2 55 1
2 56 1
2 60 1
2 61 1
2 62 1
2 63 1
2 67 1
2 68 1
2 69 1
2 70 1
2 74 1
2 75 1
2 76 1
2 77 1
2 81 1
2 82 1
2 83 1
2 84 1
2 88 1
2 89 1
2 90 1
2 91 1
2 95 1
2 96 1
2 97 1
2 98 1
2 102 1
2 103 1
2 104 1
2 105 1
2 109 1
2 110 1
2 111 1
2 112 1
2 116 1
2 117 1
2 118 1
2 119 1
2 123 1
2 124 1
2 125 1
2 126 1
2 130 1
2 131 1
2 132 1
2 133 1
2 137 1
2 138 1
2 139 1
2 140 1
2 144 1
2 145 1
2 146 1
2 147 1
2 151 1
2 152 1
2 153 1
2 154 1
2 158 1
2 159 1
2 160 1
2 161 1
2 165 1
2 166 1
2 167 1
2 168 1
2 172 1
2 173 1
2 174 1
2 175 1
2 179 1
2 180 1
2 181 1
2 182 1
2 186 1
2 187 1
2 188 1
2 189 1
2 193 1
2 194 1
2 195 1
2 196 1
2 200 1
3 5 1
3 6 1
3 7 1
3 8 1
3 12 1
3 13 1
3 14 1
3 15 1
3 19 1
3 20 1
3 21 1
3 22 1
3 26 1
3 27 1
3 28 1
3 29 1
3 33 1
3 34 1
3 35 1
3 36 1
3 40 1
3 41 1
3 42 1
3 43 1
3 47 1
3 48 1
3 49 1
3 50 1
3 54 1
3 55 1
3 56 1
3 57 1
3 61 1
3 62 1
3 63 1
3 64 1
3 68 1
3 69 1
3 70 1
3 71 1
3 75 1
3 76 1
3 77 1
3 78 1
3 82 1
3 83 1
3 84 1
3 85 1
3 89 1
3 90 1
3 91 1
3 92 1
3 96 1
3 97 1
3 98 1
3 99 1
3 103 1
3 104 1
3 105 1
3 106 1
3 110 1
3 111 1
3 112 1
3 113 1
3 117 1
3 118 1
3 119 1
3 120 1
3 124 1
3 125 1
3 126 1
3 127 1
3 131 1
3 132 1
3 133 1
3 134 1
3 138 1
3 139 1
3 140 1
3 141 1
3 145 1
3 146 1
3 147 1
3 148 1
3 152 1
3 153 1
3 154 1
3 155 1
3 159 1
3 160 1
3 161 1
3 162 1
3 166 1
3 167 1
3 168 1
3 169 1
3 173 1
3 174 1
3 175 1
3 176 1
3 180 1
3 181 1
3 182 1
3 183 1
3 187 1
3 188 1
3 189 1
3 190 1
3 194 1
3 195 1
3 196 1
3 197 1
4 6 1
4 7 1
4 8 1
4 9 1
4 13 1
4 14 1
4 15 1
4 16 1
4 20 1
4 21 1
4 22 1
4 23 1
4 27 1
4 28 1
4 29 1
4 30 1
4 34 1
4 35 1
4 36 1
4 37 1
4 41 1
4 42 1
4 43 1
4 44 1
4 48 1
4 49 1
4 50 1
4 51 1
4 55 1
4 56 1
4 57 1
4 58 1
4 62 1
4 63 1
4 64 1
4 65 1
4 69 1
4 70 1
4 71 1
4 72 1
4 76 1
4 77 1
4 78 1
4 79 1
4 83 1
4 84 1
4 85 1
4 86 1
4 90 1
4 91 1
4 92 1
4 93 1
4 97 1
4 98 1
4 99 1
4 100 1
4 104 1
4 105 1
4 106 1
4 107 1
4 111 1
4 112 1
4 113 1
4 114 1
4 118 1
4 119 1
4 120 1
4 121 1
4 125 1
4 126 1
4 127 1
4 128 1
4 132 1
4 133 1
4 134 1
4 135 1
4 139 1
4 140 1
4 141 1
4 142 1
4 146 1
4 147 1
4 148 1
4 149 1
4 153 1
4 154 1
4 155 1
4 156 1
4 160 1
4 161 1
4 162 1
4 163 1
4 167 1
4 168 1
