125 789
1 8 1
1 27 1
1 39 1
1 44 1
1 68 1
1 83 1
1 85 1
1 99 1
1 106 1
2 15 1
2 21 1
2 29 1
2 31 1
2 35 1
2 40 1
2 42 1
2 49 1
2 51 1
2 64 1
2 84 1
2 93 1
2 94 1
2 98 1
2 111 1
2 124 1
3 59 1
3 61 1
3 87 1
3 88 1
3 90 1
3 102 1
3 113 1
3 122 1
3 123 1
4 6 1
4 15 1
4 22 1
4 39 1
4 40 1
4 41 1
4 60 1
4 61 1
4 63 1
4 70 1
4 116 1
4 117 1
5 23 1
5 27 1
5 33 1
5 44 1
5 45 1
5 63 1
5 64 1
5 70 1
5 72 1
5 75 1
5 77 1
5 81 1
5 91 1
5 94 1
5 98 1
5 99 1
5 100 1
5 101 1
5 103 1
5 106 1
5 108 1
6 7 1
6 59 1
6 61 1
6 67 1
6 68 1
6 72 1
6 80 1
6 85 1
6 107 1
6 110 1
6 121 1
7 8 1
7 24 1
7 34 1
7 43 1
7 47 1
7 48 1
7 50 1
7 63 1
7 70 1
7 80 1
7 86 1
7 100 1
7 115 1
8 17 1
8 22 1
8 23 1
8 26 1
8 50 1
8 53 1
8 58 1
8 62 1
8 67 1
8 93 1
8 97 1
8 99 1
8 104 1
8 108 1
9 19 1
9 25 1
9 42 1
9 55 1
9 68 1
9 72 1
9 114 1
10 17 1
10 35 1
10 57 1
10 90 1
10 100 1
10 105 1
10 123 1
10 124 1
11 19 1
11 20 1
11 33 1
11 53 1
11 60 1
11 67 1
11 74 1
11 80 1
11 81 1
11 86 1
11 87 1
11 99 1
12 19 1
12 20 1
12 38 1
12 42 1
12 54 1
12 61 1
12 86 1
12 94 1
12 98 1
12 113 1
12 115 1
12 125 1
13 25 1
13 53 1
13 56 1
13 60 1
13 62 1
13 72 1
13 81 1
13 83 1
13 100 1
13 102 1
13 116 1
13 124 1
14 24 1
14 29 1
14 30 1
14 35 1
14 36 1
14 39 1
14 42 1
14 52 1
14 64 1
14 80 1
14 84 1
14 99 1
14 111 1
15 25 1
15 39 1
15 41 1
15 57 1
15 62 1
15 72 1
15 83 1
15 96 1
15 102 1
15 107 1
15 111 1
15 117 1
15 121 1
16 25 1
16 28 1
16 30 1
16 38 1
16 46 1
16 48 1
16 65 1
16 73 1
16 81 1
16 92 1
16 103 1
16 106 1
17 41 1
17 45 1
17 46 1
17 51 1
17 52 1
17 63 1
17 74 1
17 91 1
17 92 1
17 113 1
17 120 1
17 123 1
17 124 1
17 125 1
18 21 1
18 26 1
18 40 1
18 44 1
18 54 1
18 57 1
18 59 1
18 69 1
18 83 1
18 111 1
18 114 1
18 116 1
18 118 1
19 21 1
19 23 1
19 39 1
19 42 1
19 60 1
19 63 1
19 80 1
19 84 1
19 86 1
19 88 1
19 96 1
19 106 1
19 115 1
19 122 1
20 26 1
20 36 1
20 37 1
20 39 1
20 45 1
20 46 1
20 69 1
20 71 1
20 79 1
20 85 1
20 98 1
20 99 1
20 101 1
20 109 1
20 119 1
20 124 1
21 23 1
21 24 1
21 29 1
21 34 1
21 50 1
21 64 1
21 66 1
21 68 1
21 77 1
21 96 1
21 114 1
21 121 1
22 41 1
22 45 1
22 50 1
22 61 1
22 62 1
22 67 1
22 85 1
22 87 1
22 94 1
22 121 1
23 29 1
23 33 1
23 35 1
23 44 1
23 49 1
23 59 1
23 76 1
23 102 1
23 103 1
23 110 1
23 111 1
23 123 1
24 25 1
24 31 1
24 45 1
24 60 1
24 65 1
24 72 1
24 81 1
24 89 1
24 92 1
24 93 1
24 96 1
24 102 1
24 107 1
24 116 1
25 31 1
25 45 1
25 47 1
25 54 1
25 55 1
25 60 1
25 70 1
25 81 1
25 86 1
25 88 1
25 91 1
26 28 1
26 42 1
26 52 1
26 60 1
26 75 1
26 79 1
26 86 1
26 94 1
26 97 1
26 112 1
26 122 1
27 45 1
27 54 1
27 55 1
27 68 1
27 94 1
27 104 1
27 114 1
27 116 1
27 122 1
28 47 1
28 62 1
28 67 1
28 69 1
28 76 1
28 85 1
28 97 1
28 100 1
28 112 1
28 113 1
28 114 1
28 117 1
28 121 1
28 125 1
29 40 1
29 55 1
29 60 1
29 62 1
29 75 1
29 77 1
29 102 1
29 120 1
29 121 1
30 31 1
30 51 1
30 54 1
30 58 1
30 61 1
30 63 1
30 75 1
30 79 1
30 82 1
30 88 1
30 90 1
30 101 1
30 111 1
30 119 1
30 125 1
31 32 1
31 33 1
31 44 1
31 48 1
31 55 1
31 87 1
31 98 1
31 109 1
31 112 1
31 113 1
32 33 1
32 35 1
32 54 1
32 63 1
32 77 1
32 82 1
32 105 1
33 38 1
33 40 1
33 54 1
33 58 1
33 63 1
33 64 1
33 73 1
33 92 1
33 103 1
34 64 1
34 81 1
34 82 1
34 86 1
34 91 1
34 110 1
34 113 1
35 42 1
35 52 1
35 59 1
35 64 1
35 76 1
35 105 1
35 106 1
36 41 1
36 45 1
36 55 1
36 62 1
36 82 1
36 119 1
36 123 1
36 125 1
37 64 1
37 69 1
37 71 1
37 74 1
37 80 1
37 91 1
37 110 1
37 111 1
38 42 1
38 58 1
38 61 1
38 85 1
38 119 1
38 125 1
39 43 1
39 47 1
39 71 1
39 75 1
39 92 1
39 97 1
40 48 1
40 56 1
40 83 1
40 99 1
40 124 1
41 59 1
41 76 1
41 80 1
41 86 1
41 94 1
41 103 1
41 116 1
41 122 1
41 125 1
42 43 1
42 44 1
42 63 1
42 64 1
42 77 1
42 85 1
42 93 1
42 109 1
42 110 1
43 61 1
43 84 1
43 88 1
43 90 1
43 93 1
43 98 1
43 125 1
44 45 1
44 59 1
44 61 1
44 66 1
44 90 1
44 115 1
44 116 1
44 118 1
45 48 1
45 55 1
45 56 1
45 76 1
45 79 1
45 86 1
45 91 1
45 117 1
45 124 1
46 47 1
46 49 1
46 50 1
46 56 1
46 64 1
46 68 1
46 73 1
46 75 1
46 78 1
46 81 1
46 91 1
46 120 1
47 50 1
47 58 1
47 60 1
47 64 1
47 69 1
47 80 1
47 88 1
47 91 1
47 101 1
47 107 1
47 110 1
47 118 1
48 52 1
48 58 1
48 71 1
48 81 1
48 84 1
48 89 1
48 91 1
48 93 1
48 119 1
49 52 1
49 69 1
49 99 1
49 105 1
49 110 1
50 87 1
50 119 1
51 55 1
51 60 1
51 86 1
51 90 1
51 93 1
51 110 1
51 125 1
52 62 1
52 65 1
52 70 1
52 77 1
52 91 1
52 95 1
52 105 1
52 121 1
53 67 1
53 97 1
53 104 1
53 115 1
53 117 1
53 119 1
53 124 1
53 125 1
54 62 1
54 75 1
54 76 1
54 81 1
54 94 1
54 99 1
54 103 1
54 123 1
55 62 1
55 66 1
55 77 1
55 114 1
55 124 1
55 125 1
56 65 1
56 75 1
56 82 1
56 112 1
56 118 1
57 59 1
57 66 1
57 71 1
57 77 1
57 84 1
57 121 1
58 69 1
58 90 1
58 94 1
58 96 1
58 98 1
58 99 1
58 123 1
59 121 1
60 62 1
60 84 1
60 97 1
60 103 1
60 111 1
60 116 1
61 76 1
61 82 1
61 102 1
61 107 1
62 63 1
62 79 1
62 103 1
62 117 1
62 122 1
63 67 1
63 73 1
63 75 1
63 98 1
63 103 1
63 109 1
63 117 1
63 123 1
64 65 1
64 71 1
64 77 1
64 87 1
64 90 1
64 93 1
64 96 1
64 107 1
64 109 1
65 79 1
65 93 1
65 113 1
65 114 1
66 75 1
66 85 1
66 100 1
67 70 1
67 88 1
67 102 1
67 116 1
67 119 1
67 125 1
68 75 1
68 76 1
68 86 1
68 105 1
68 108 1
68 119 1
69 74 1
69 78 1
69 112 1
69 120 1
70 73 1
70 92 1
70 98 1
70 112 1
70 122 1
71 72 1
71 77 1
71 90 1
71 92 1
71 97 1
71 100 1
71 103 1
71 117 1
72 74 1
72 77 1
72 84 1
72 96 1
72 107 1
72 111 1
72 115 1
72 117 1
72 119 1
72 125 1
73 76 1
73 90 1
73 104 1
73 106 1
73 118 1
73 125 1
74 81 1
74 85 1
74 101 1
74 107 1
74 123 1
75 80 1
75 86 1
75 93 1
75 96 1
75 104 1
75 105 1
75 106 1
75 113 1
76 87 1
76 88 1
76 92 1
76 99 1
76 124 1
77 118 1
77 119 1
78 91 1
78 110 1
78 111 1
78 117 1
78 125 1
79 85 1
79 108 1
79 118 1
80 87 1
80 97 1
80 99 1
80 104 1
80 114 1
80 115 1
80 118 1
80 125 1
81 89 1
82 102 1
82 114 1
83 86 1
83 89 1
83 96 1
83 103 1
83 121 1
84 107 1
84 113 1
84 115 1
84 117 1
84 125 1
85 92 1
85 95 1
85 109 1
85 111 1
85 117 1
85 119 1
85 125 1
86 87 1
86 113 1
86 124 1
87 91 1
87 97 1
87 103 1
87 112 1
88 90 1
88 97 1
88 107 1
88 112 1
89 107 1
89 122 1
89 123 1
90 99 1
90 103 1
90 117 1
90 125 1
91 97 1
92 98 1
92 104 1
92 116 1
93 97 1
93 99 1
94 96 1
94 106 1
95 96 1
95 117 1
96 108 1
96 119 1
97 104 1
97 109 1
97 114 1
97 115 1
98 100 1
98 105 1
98 117 1
100 105 1
100 115 1
100 122 1
101 105 1
102 118 1
102 120 1
103 108 1
104 111 1
104 113 1
104 118 1
105 108 1
105 109 1
105 110 1
105 120 1
105 124 1
106 120 1
107 115 1
108 110 1
108 122 1
110 113 1
110 116 1
110 119 1
113 114 1
113 123 1
114 115 1
114 123 1
115 118 1
115 120 1
119 124 1
120 122 1
120 125 1
122 124 1
124 125 1
