120 236
1 40 1
1 69 1
2 4 1
2 16 1
2 19 1
2 30 1
2 89 1
2 96 1
3 72 1
3 90 1
4 38 1
4 99 1
4 110 1
4 114 1
5 33 1
5 49 1
5 82 1
6 26 1
6 105 1
7 27 1
7 69 1
7 96 1
8 18 1
8 33 1
8 63 1
8 100 1
8 120 1
9 17 1
9 23 1
9 62 1
9 77 1
10 15 1
10 21 1
10 39 1
11 36 1
11 60 1
11 79 1
11 90 1
11 105 1
12 34 1
12 45 1
12 92 1
12 107 1
13 28 1
13 37 1
13 53 1
14 15 1
14 42 1
15 111 1
16 20 1
16 40 1
16 62 1
16 68 1
17 46 1
17 89 1
18 52 1
18 58 1
18 71 1
18 84 1
19 24 1
19 43 1
19 66 1
20 44 1
20 50 1
20 61 1
21 42 1
21 51 1
22 29 1
22 31 1
22 67 1
22 84 1
22 103 1
23 93 1
24 61 1
25 38 1
25 68 1
25 71 1
26 58 1
26 96 1
26 118 1
27 38 1
27 40 1
27 76 1
27 90 1
27 108 1
28 34 1
28 48 1
28 111 1
29 35 1
29 54 1
29 71 1
30 50 1
30 52 1
31 32 1
31 60 1
31 73 1
32 49 1
32 65 1
32 67 1
32 86 1
33 88 1
33 103 1
34 38 1
34 51 1
34 99 1
34 119 1
35 47 1
35 64 1
36 57 1
36 112 1
37 62 1
38 80 1
39 96 1
39 105 1
40 58 1
40 94 1
41 65 1
41 110 1
42 55 1
42 100 1
43 50 1
43 57 1
43 85 1
43 87 1
43 118 1
44 70 1
44 82 1
45 63 1
45 81 1
45 87 1
45 102 1
46 93 1
46 109 1
47 74 1
48 57 1
48 60 1
48 66 1
48 72 1
49 70 1
51 56 1
51 68 1
52 87 1
52 92 1
52 101 1
52 103 1
53 67 1
53 77 1
53 79 1
53 88 1
53 89 1
54 74 1
54 85 1
55 56 1
55 60 1
55 78 1
55 85 1
56 83 1
58 72 1
58 78 1
58 80 1
58 100 1
59 61 1
59 66 1
59 69 1
59 95 1
60 70 1
62 82 1
62 111 1
62 119 1
63 89 1
63 94 1
63 112 1
64 65 1
64 91 1
64 95 1
65 76 1
65 98 1
65 111 1
66 68 1
66 98 1
66 114 1
67 79 1
67 82 1
67 99 1
67 102 1
68 70 1
68 97 1
68 102 1
68 104 1
69 83 1
69 102 1
70 91 1
71 77 1
71 99 1
73 79 1
73 113 1
75 80 1
75 91 1
76 77 1
76 86 1
77 114 1
78 118 1
80 95 1
81 97 1
83 95 1
83 119 1
84 88 1
86 89 1
86 106 1
87 107 1
87 108 1
87 120 1
90 95 1
90 100 1
90 107 1
90 110 1
92 114 1
94 109 1
95 107 1
98 117 1
99 109 1
100 107 1
101 106 1
101 109 1
101 112 1
104 113 1
104 115 1
104 119 1
105 120 1
106 113 1
106 116 1
107 108 1
108 114 1
110 117 1
115 116 1
115 117 1
