125 873
1 10 1
1 12 1
1 14 1
1 20 1
1 32 1
1 38 1
1 39 1
1 51 1
1 63 1
1 72 1
1 76 1
1 83 1
1 90 1
1 93 1
1 97 1
1 107 1
1 113 1
1 125 1
2 7 1
2 8 1
2 21 1
2 28 1
2 31 1
2 49 1
2 54 1
2 57 1
2 86 1
2 87 1
2 117 1
2 124 1
3 25 1
3 33 1
3 42 1
3 58 1
3 62 1
3 68 1
3 69 1
3 73 1
3 82 1
3 84 1
3 105 1
3 109 1
3 115 1
4 19 1
4 35 1
4 47 1
4 48 1
4 50 1
4 52 1
4 56 1
4 69 1
4 72 1
4 81 1
4 88 1
4 92 1
4 95 1
4 100 1
4 103 1
5 12 1
5 16 1
5 20 1
5 29 1
5 44 1
5 60 1
5 61 1
5 83 1
5 93 1
5 110 1
5 113 1
5 120 1
6 17 1
6 22 1
6 25 1
6 43 1
6 53 1
6 61 1
6 62 1
6 73 1
6 77 1
6 82 1
6 84 1
6 89 1
6 94 1
6 103 1
6 118 1
6 123 1
7 8 1
7 23 1
7 28 1
7 34 1
7 41 1
7 42 1
7 46 1
7 54 1
7 57 1
7 59 1
7 65 1
7 78 1
7 119 1
8 21 1
8 28 1
8 31 1
8 49 1
8 54 1
8 62 1
8 86 1
8 87 1
8 94 1
8 117 1
8 119 1
8 124 1
9 21 1
9 23 1
9 29 1
9 31 1
9 34 1
9 59 1
9 65 1
9 78 1
9 80 1
9 86 1
9 108 1
9 117 1
9 124 1
10 12 1
10 20 1
10 26 1
10 32 1
10 34 1
10 51 1
10 79 1
10 83 1
10 86 1
10 90 1
10 93 1
10 97 1
10 113 1
10 125 1
11 14 1
11 24 1
11 27 1
11 38 1
11 40 1
11 45 1
11 46 1
11 99 1
11 106 1
11 114 1
11 116 1
11 122 1
12 20 1
12 26 1
12 29 1
12 37 1
12 63 1
12 74 1
12 95 1
12 98 1
12 110 1
12 113 1
13 18 1
13 28 1
13 29 1
13 36 1
13 48 1
13 52 1
13 55 1
13 64 1
13 66 1
13 72 1
13 75 1
13 88 1
13 100 1
13 101 1
13 104 1
13 105 1
13 121 1
14 19 1
14 21 1
14 27 1
14 39 1
14 45 1
14 66 1
14 87 1
14 96 1
14 102 1
14 111 1
14 112 1
14 114 1
14 118 1
14 122 1
15 19 1
15 21 1
15 23 1
15 31 1
15 32 1
15 34 1
15 55 1
15 59 1
15 65 1
15 70 1
15 78 1
15 86 1
15 108 1
15 117 1
15 124 1
16 25 1
16 29 1
16 32 1
16 37 1
16 44 1
16 51 1
16 61 1
16 90 1
16 91 1
16 95 1
16 97 1
16 110 1
16 125 1
17 22 1
17 25 1
17 43 1
17 48 1
17 53 1
17 57 1
17 62 1
17 73 1
17 79 1
17 82 1
17 84 1
17 94 1
17 123 1
18 30 1
18 35 1
18 36 1
18 47 1
18 50 1
18 55 1
18 71 1
18 76 1
18 81 1
18 92 1
18 101 1
18 104 1
19 24 1
19 27 1
19 39 1
19 45 1
19 48 1
19 71 1
19 74 1
19 89 1
19 91 1
19 102 1
19 115 1
19 116 1
20 26 1
20 29 1
20 37 1
20 63 1
20 66 1
20 93 1
20 95 1
20 98 1
20 110 1
21 31 1
21 41 1
21 57 1
21 69 1
21 70 1
21 80 1
21 102 1
21 108 1
21 117 1
21 119 1
22 33 1
22 42 1
22 43 1
22 53 1
22 58 1
22 68 1
22 75 1
22 77 1
22 79 1
22 109 1
22 122 1
23 28 1
23 39 1
23 49 1
23 54 1
23 65 1
23 70 1
23 78 1
23 80 1
23 84 1
23 87 1
23 108 1
24 27 1
24 29 1
24 39 1
24 66 1
24 83 1
24 96 1
24 102 1
24 111 1
24 114 1
24 116 1
24 118 1
24 122 1
25 62 1
25 69 1
25 75 1
25 77 1
25 79 1
25 84 1
25 85 1
25 105 1
25 112 1
26 32 1
26 36 1
26 51 1
26 73 1
26 76 1
26 83 1
26 90 1
26 93 1
26 97 1
26 98 1
26 113 1
26 125 1
27 31 1
27 39 1
27 66 1
27 96 1
27 102 1
27 111 1
27 114 1
27 118 1
27 122 1
28 34 1
28 41 1
28 49 1
28 57 1
28 59 1
28 65 1
28 78 1
28 119 1
29 44 1
29 60 1
29 61 1
29 83 1
29 89 1
29 93 1
29 95 1
29 99 1
29 113 1
29 120 1
30 36 1
30 48 1
30 52 1
30 55 1
30 64 1
30 72 1
30 76 1
30 88 1
30 93 1
30 100 1
30 104 1
30 121 1
31 41 1
31 57 1
31 70 1
31 80 1
31 89 1
31 108 1
31 119 1
31 124 1
32 33 1
32 44 1
32 60 1
32 61 1
32 63 1
32 90 1
32 97 1
32 98 1
32 120 1
33 43 1
33 50 1
33 53 1
33 58 1
33 68 1
33 69 1
33 85 1
33 94 1
33 105 1
33 112 1
33 123 1
34 48 1
34 49 1
34 54 1
34 59 1
34 65 1
34 70 1
34 80 1
34 87 1
34 108 1
35 36 1
35 47 1
35 50 1
35 55 1
35 56 1
35 64 1
35 67 1
35 77 1
35 103 1
35 107 1
35 121 1
36 47 1
36 50 1
36 53 1
36 64 1
36 68 1
36 76 1
36 81 1
36 92 1
36 93 1
36 101 1
36 104 1
36 110 1
37 44 1
37 54 1
37 60 1
37 61 1
37 83 1
37 93 1
37 95 1
37 110 1
37 113 1
37 120 1
38 46 1
38 54 1
38 71 1
38 74 1
38 89 1
38 91 1
38 106 1
38 111 1
38 114 1
38 115 1
38 118 1
38 122 1
39 45 1
39 71 1
39 74 1
39 84 1
39 89 1
39 91 1
39 96 1
39 115 1
39 116 1
40 71 1
40 74 1
40 89 1
40 91 1
40 99 1
40 106 1
40 111 1
40 114 1
40 115 1
40 118 1
40 122 1
41 49 1
41 54 1
41 57 1
41 86 1
41 87 1
41 117 1
41 119 1
41 124 1
42 43 1
42 53 1
42 68 1
42 69 1
42 85 1
42 94 1
42 105 1
42 109 1
42 112 1
42 123 1
43 58 1
43 68 1
43 75 1
43 77 1
43 79 1
43 109 1
43 123 1
44 51 1
44 60 1
44 90 1
44 95 1
44 97 1
44 102 1
44 109 1
44 110 1
44 121 1
44 125 1
45 66 1
45 95 1
45 96 1
45 102 1
45 107 1
45 111 1
45 114 1
45 116 1
45 118 1
45 122 1
46 71 1
46 74 1
46 87 1
46 89 1
46 91 1
46 99 1
46 111 1
46 112 1
46 114 1
46 115 1
46 118 1
46 122 1
47 55 1
47 56 1
47 64 1
47 67 1
47 81 1
47 82 1
47 103 1
47 107 1
47 121 1
48 56 1
48 67 1
48 73 1
48 76 1
48 88 1
48 100 1
48 101 1
48 103 1
48 104 1
48 107 1
49 57 1
49 59 1
49 65 1
49 78 1
49 87 1
49 119 1
49 121 1
50 55 1
50 56 1
50 64 1
50 67 1
50 92 1
50 103 1
50 107 1
50 118 1
50 121 1
51 60 1
51 61 1
51 62 1
51 63 1
51 90 1
51 98 1
51 115 1
51 120 1
51 125 1
52 56 1
52 67 1
52 72 1
52 76 1
52 100 1
52 101 1
52 103 1
52 104 1
52 107 1
52 114 1
53 58 1
53 68 1
53 75 1
53 77 1
53 79 1
53 94 1
53 109 1
54 57 1
54 59 1
54 65 1
54 78 1
54 81 1
54 87 1
54 119 1
55 76 1
55 81 1
55 91 1
55 92 1
55 101 1
55 104 1
55 112 1
55 121 1
56 67 1
56 72 1
56 77 1
56 81 1
56 88 1
56 92 1
56 100 1
57 86 1
57 87 1
57 117 1
57 124 1
58 69 1
58 70 1
58 85 1
58 94 1
58 105 1
58 109 1
58 112 1
58 123 1
59 70 1
59 78 1
59 80 1
59 81 1
59 87 1
59 108 1
60 90 1
60 95 1
60 97 1
60 110 1
60 120 1
60 125 1
61 90 1
61 95 1
61 96 1
61 97 1
61 110 1
61 120 1
61 125 1
62 69 1
62 73 1
62 75 1
62 77 1
62 79 1
62 85 1
62 90 1
62 105 1
62 112 1
63 83 1
63 90 1
63 93 1
63 97 1
63 98 1
63 113 1
63 125 1
64 75 1
64 76 1
64 81 1
64 92 1
64 101 1
64 104 1
64 121 1
65 70 1
65 80 1
65 87 1
65 108 1
66 71 1
66 74 1
66 89 1
66 91 1
66 96 1
66 102 1
66 115 1
66 116 1
66 120 1
67 72 1
67 81 1
67 88 1
67 92 1
67 100 1
67 107 1
68 69 1
68 85 1
68 94 1
68 105 1
68 112 1
68 123 1
69 72 1
69 73 1
69 76 1
69 82 1
69 84 1
69 85 1
69 109 1
69 119 1
70 78 1
70 80 1
70 86 1
70 117 1
70 120 1
70 124 1
71 78 1
71 91 1
71 96 1
71 99 1
71 102 1
71 106 1
71 109 1
71 115 1
72 76 1
72 88 1
72 101 1
72 103 1
72 104 1
72 107 1
73 75 1
73 77 1
73 79 1
73 82 1
73 85 1
73 105 1
73 112 1
74 80 1
74 89 1
74 91 1
74 96 1
74 99 1
74 102 1
74 106 1
75 77 1
75 79 1
75 80 1
75 82 1
75 84 1
75 94 1
75 123 1
76 88 1
76 100 1
76 101 1
76 121 1
77 82 1
77 84 1
77 87 1
77 94 1
77 123 1
78 80 1
78 87 1
78 88 1
78 102 1
78 108 1
79 82 1
79 84 1
79 94 1
79 106 1
79 123 1
80 86 1
80 117 1
80 118 1
80 124 1
81 92 1
81 103 1
81 107 1
81 117 1
81 121 1
82 84 1
82 85 1
82 90 1
82 105 1
82 112 1
83 84 1
83 93 1
83 95 1
83 98 1
83 101 1
83 110 1
83 113 1
84 85 1
84 105 1
84 112 1
85 90 1
85 98 1
85 109 1
85 112 1
85 115 1
85 121 1
86 108 1
86 117 1
86 119 1
86 124 1
87 96 1
87 119 1
88 101 1
88 103 1
88 104 1
88 107 1
89 96 1
89 99 1
89 102 1
89 106 1
89 115 1
90 98 1
90 120 1
91 96 1
91 99 1
91 102 1
91 106 1
92 102 1
92 103 1
92 105 1
92 107 1
92 114 1
92 115 1
92 121 1
93 95 1
93 98 1
93 110 1
94 109 1
94 123 1
95 104 1
95 109 1
95 113 1
95 120 1
95 122 1
95 124 1
96 115 1
96 116 1
97 98 1
97 120 1
97 125 1
98 107 1
98 113 1
98 125 1
99 111 1
99 114 1
99 115 1
99 118 1
99 122 1
100 101 1
100 103 1
100 104 1
100 107 1
101 121 1
102 115 1
102 116 1
103 107 1
104 121 1
105 109 1
105 112 1
106 111 1
106 114 1
106 115 1
106 118 1
106 122 1
108 117 1
108 124 1
109 112 1
109 123 1
110 113 1
110 120 1
111 114 1
111 116 1
111 118 1
114 116 1
114 124 1
116 118 1
116 122 1
117 119 1
118 122 1
119 124 1
120 125 1
