120 1680
1 2 1
1 3 1
1 4 1
1 5 1
1 7 1
1 8 1
1 11 1
1 12 1
1 16 1
1 17 1
1 22 1
1 23 1
1 29 1
1 30 1
1 37 1
1 38 1
1 46 1
1 47 1
1 56 1
1 57 1
1 67 1
1 68 1
1 79 1
1 80 1
1 92 1
1 93 1
1 106 1
1 107 1
2 3 1
2 4 1
2 6 1
2 7 1
2 9 1
2 11 1
2 13 1
2 16 1
2 18 1
2 22 1
2 24 1
2 29 1
2 31 1
2 37 1
2 39 1
2 46 1
2 48 1
2 56 1
2 58 1
2 67 1
2 69 1
2 79 1
2 81 1
2 92 1
2 94 1
2 106 1
2 108 1
3 5 1
3 6 1
3 8 1
3 9 1
3 12 1
3 13 1
3 17 1
3 18 1
3 23 1
3 24 1
3 30 1
3 31 1
3 38 1
3 39 1
3 47 1
3 48 1
3 57 1
3 58 1
3 68 1
3 69 1
3 80 1
3 81 1
3 93 1
3 94 1
3 107 1
3 108 1
4 5 1
4 6 1
4 7 1
4 10 1
4 11 1
4 14 1
4 16 1
4 19 1
4 22 1
4 25 1
4 29 1
4 32 1
4 37 1
4 40 1
4 46 1
4 49 1
4 56 1
4 59 1
4 67 1
4 70 1
4 79 1
4 82 1
4 92 1
4 95 1
4 106 1
4 109 1
5 6 1
5 8 1
5 10 1
5 12 1
5 14 1
5 17 1
5 19 1
5 23 1
5 25 1
5 30 1
5 32 1
5 38 1
5 40 1
5 47 1
5 49 1
5 57 1
5 59 1
5 68 1
5 70 1
5 80 1
5 82 1
5 93 1
5 95 1
5 107 1
5 109 1
6 9 1
6 10 1
6 13 1
6 14 1
6 18 1
6 19 1
6 24 1
6 25 1
6 31 1
6 32 1
6 39 1
6 40 1
6 48 1
6 49 1
6 58 1
6 59 1
6 69 1
6 70 1
6 81 1
6 82 1
6 94 1
6 95 1
6 108 1
6 109 1
7 8 1
7 9 1
7 10 1
7 11 1
7 15 1
7 16 1
7 20 1
7 22 1
7 26 1
7 29 1
7 33 1
7 37 1
7 41 1
7 46 1
7 50 1
7 56 1
7 60 1
7 67 1
7 71 1
7 79 1
7 83 1
7 92 1
7 96 1
7 106 1
7 110 1
8 9 1
8 10 1
8 12 1
8 15 1
8 17 1
8 20 1
8 23 1
8 26 1
8 30 1
8 33 1
8 38 1
8 41 1
8 47 1
8 50 1
8 57 1
8 60 1
8 68 1
8 71 1
8 80 1
8 83 1
8 93 1
8 96 1
8 107 1
8 110 1
9 10 1
9 13 1
9 15 1
9 18 1
9 20 1
9 24 1
9 26 1
9 31 1
9 33 1
9 39 1
9 41 1
9 48 1
9 50 1
9 58 1
9 60 1
9 69 1
9 71 1
9 81 1
9 83 1
9 94 1
9 96 1
9 108 1
9 110 1
10 14 1
10 15 1
10 19 1
10 20 1
10 25 1
10 26 1
10 32 1
10 33 1
10 40 1
10 41 1
10 49 1
10 50 1
10 59 1
10 60 1
10 70 1
10 71 1
10 82 1
10 83 1
10 95 1
10 96 1
10 109 1
10 110 1
11 12 1
11 13 1
11 14 1
11 15 1
11 16 1
11 21 1
11 22 1
11 27 1
11 29 1
11 34 1
11 37 1
11 42 1
11 46 1
11 51 1
11 56 1
11 61 1
11 67 1
11 72 1
11 79 1
11 84 1
11 92 1
11 97 1
11 106 1
11 111 1
12 13 1
12 14 1
12 15 1
12 17 1
12 21 1
12 23 1
12 27 1
12 30 1
12 34 1
12 38 1
12 42 1
12 47 1
12 51 1
12 57 1
12 61 1
12 68 1
12 72 1
12 80 1
12 84 1
12 93 1
12 97 1
12 107 1
12 111 1
13 14 1
13 15 1
13 18 1
13 21 1
13 24 1
13 27 1
13 31 1
13 34 1
13 39 1
13 42 1
13 48 1
13 51 1
13 58 1
13 61 1
13 69 1
13 72 1
13 81 1
13 84 1
13 94 1
13 97 1
13 108 1
13 111 1
14 15 1
14 19 1
14 21 1
14 25 1
14 27 1
14 32 1
14 34 1
14 40 1
14 42 1
14 49 1
14 51 1
14 59 1
14 61 1
14 70 1
14 72 1
14 82 1
14 84 1
14 95 1
14 97 1
14 109 1
14 111 1
15 20 1
15 21 1
15 26 1
15 27 1
15 33 1
15 34 1
15 41 1
15 42 1
15 50 1
15 51 1
15 60 1
15 61 1
15 71 1
15 72 1
15 83 1
15 84 1
15 96 1
15 97 1
15 110 1
15 111 1
16 17 1
16 18 1
16 19 1
16 20 1
16 21 1
16 22 1
16 28 1
16 29 1
16 35 1
16 37 1
16 43 1
16 46 1
16 52 1
16 56 1
16 62 1
16 67 1
16 73 1
16 79 1
16 85 1
16 92 1
16 98 1
16 106 1
16 112 1
17 18 1
17 19 1
17 20 1
17 21 1
17 23 1
17 28 1
17 30 1
17 35 1
17 38 1
17 43 1
17 47 1
17 52 1
17 57 1
17 62 1
17 68 1
17 73 1
17 80 1
17 85 1
17 93 1
17 98 1
17 107 1
17 112 1
18 19 1
18 20 1
18 21 1
18 24 1
18 28 1
18 31 1
18 35 1
18 39 1
18 43 1
18 48 1
18 52 1
18 58 1
18 62 1
18 69 1
18 73 1
18 81 1
18 85 1
18 94 1
18 98 1
18 108 1
18 112 1
19 20 1
19 21 1
19 25 1
19 28 1
19 32 1
19 35 1
19 40 1
19 43 1
19 49 1
19 52 1
19 59 1
19 62 1
19 70 1
19 73 1
19 82 1
19 85 1
19 95 1
19 98 1
19 109 1
19 112 1
20 21 1
20 26 1
20 28 1
20 33 1
20 35 1
20 41 1
20 43 1
20 50 1
20 52 1
20 60 1
20 62 1
20 71 1
20 73 1
20 83 1
20 85 1
20 96 1
20 98 1
20 110 1
20 112 1
21 27 1
21 28 1
21 34 1
21 35 1
21 42 1
21 43 1
21 51 1
21 52 1
21 61 1
21 62 1
21 72 1
21 73 1
21 84 1
21 85 1
21 97 1
21 98 1
21 111 1
21 112 1
22 23 1
22 24 1
22 25 1
22 26 1
22 27 1
22 28 1
22 29 1
22 36 1
22 37 1
22 44 1
22 46 1
22 53 1
22 56 1
22 63 1
22 67 1
22 74 1
22 79 1
22 86 1
22 92 1
22 99 1
22 106 1
22 113 1
23 24 1
23 25 1
23 26 1
23 27 1
23 28 1
23 30 1
23 36 1
23 38 1
23 44 1
23 47 1
23 53 1
23 57 1
23 63 1
23 68 1
23 74 1
23 80 1
23 86 1
23 93 1
23 99 1
23 107 1
23 113 1
24 25 1
24 26 1
24 27 1
24 28 1
24 31 1
24 36 1
24 39 1
24 44 1
24 48 1
24 53 1
24 58 1
24 63 1
24 69 1
24 74 1
24 81 1
24 86 1
24 94 1
24 99 1
24 108 1
24 113 1
25 26 1
25 27 1
25 28 1
25 32 1
25 36 1
25 40 1
25 44 1
25 49 1
25 53 1
25 59 1
25 63 1
25 70 1
25 74 1
25 82 1
25 86 1
25 95 1
25 99 1
25 109 1
25 113 1
26 27 1
26 28 1
26 33 1
26 36 1
26 41 1
26 44 1
26 50 1
26 53 1
26 60 1
26 63 1
26 71 1
26 74 1
26 83 1
26 86 1
26 96 1
26 99 1
26 110 1
26 113 1
27 28 1
27 34 1
27 36 1
27 42 1
27 44 1
27 51 1
27 53 1
27 61 1
27 63 1
27 72 1
27 74 1
27 84 1
27 86 1
27 97 1
27 99 1
27 111 1
27 113 1
28 35 1
28 36 1
28 43 1
28 44 1
28 52 1
28 53 1
28 62 1
28 63 1
28 73 1
28 74 1
28 85 1
28 86 1
28 98 1
28 99 1
28 112 1
28 113 1
29 30 1
29 31 1
29 32 1
29 33 1
29 34 1
29 35 1
29 36 1
29 37 1
29 45 1
29 46 1
29 54 1
29 56 1
29 64 1
29 67 1
29 75 1
29 79 1
29 87 1
29 92 1
29 100 1
29 106 1
29 114 1
30 31 1
30 32 1
30 33 1
30 34 1
30 35 1
30 36 1
30 38 1
30 45 1
30 47 1
30 54 1
30 57 1
30 64 1
30 68 1
30 75 1
30 80 1
30 87 1
30 93 1
30 100 1
30 107 1
30 114 1
31 32 1
31 33 1
31 34 1
31 35 1
31 36 1
31 39 1
31 45 1
31 48 1
31 54 1
31 58 1
31 64 1
31 69 1
31 75 1
31 81 1
31 87 1
31 94 1
31 100 1
31 108 1
31 114 1
32 33 1
32 34 1
32 35 1
32 36 1
32 40 1
32 45 1
32 49 1
32 54 1
32 59 1
32 64 1
32 70 1
32 75 1
32 82 1
32 87 1
32 95 1
32 100 1
32 109 1
32 114 1
33 34 1
33 35 1
33 36 1
33 41 1
33 45 1
33 50 1
33 54 1
33 60 1
33 64 1
33 71 1
33 75 1
33 83 1
33 87 1
33 96 1
33 100 1
33 110 1
33 114 1
34 35 1
34 36 1
34 42 1
34 45 1
34 51 1
34 54 1
34 61 1
34 64 1
34 72 1
34 75 1
34 84 1
34 87 1
34 97 1
34 100 1
34 111 1
34 114 1
35 36 1
35 43 1
35 45 1
35 52 1
35 54 1
35 62 1
35 64 1
35 73 1
35 75 1
35 85 1
35 87 1
35 98 1
35 100 1
35 112 1
35 114 1
36 44 1
36 45 1
36 53 1
36 54 1
36 63 1
36 64 1
36 74 1
36 75 1
36 86 1
36 87 1
36 99 1
36 100 1
36 113 1
36 114 1
37 38 1
37 39 1
37 40 1
37 41 1
37 42 1
37 43 1
37 44 1
37 45 1
37 46 1
37 55 1
37 56 1
37 65 1
37 67 1
37 76 1
37 79 1
37 88 1
37 92 1
37 101 1
37 106 1
37 115 1
38 39 1
38 40 1
38 41 1
38 42 1
38 43 1
38 44 1
38 45 1
38 47 1
38 55 1
38 57 1
38 65 1
38 68 1
38 76 1
38 80 1
38 88 1
38 93 1
38 101 1
38 107 1
38 115 1
39 40 1
39 41 1
39 42 1
39 43 1
39 44 1
39 45 1
39 48 1
39 55 1
39 58 1
39 65 1
39 69 1
39 76 1
39 81 1
39 88 1
39 94 1
39 101 1
39 108 1
39 115 1
40 41 1
40 42 1
40 43 1
40 44 1
40 45 1
40 49 1
40 55 1
40 59 1
40 65 1
40 70 1
40 76 1
40 82 1
40 88 1
40 95 1
40 101 1
40 109 1
40 115 1
41 42 1
41 43 1
41 44 1
41 45 1
41 50 1
41 55 1
41 60 1
41 65 1
41 71 1
41 76 1
41 83 1
41 88 1
41 96 1
41 101 1
41 110 1
41 115 1
42 43 1
42 44 1
42 45 1
42 51 1
42 55 1
42 61 1
42 65 1
42 72 1
42 76 1
42 84 1
42 88 1
42 97 1
42 101 1
42 111 1
42 115 1
43 44 1
43 45 1
43 52 1
43 55 1
43 62 1
43 65 1
43 73 1
43 76 1
43 85 1
43 88 1
43 98 1
43 101 1
43 112 1
43 115 1
44 45 1
44 53 1
44 55 1
44 63 1
44 65 1
44 74 1
44 76 1
44 86 1
44 88 1
44 99 1
44 101 1
44 113 1
44 115 1
45 54 1
45 55 1
45 64 1
45 65 1
45 75 1
45 76 1
45 87 1
45 88 1
45 100 1
45 101 1
45 114 1
45 115 1
46 47 1
46 48 1
46 49 1
46 50 1
46 51 1
46 52 1
46 53 1
46 54 1
46 55 1
46 56 1
46 66 1
46 67 1
46 77 1
46 79 1
46 89 1
46 92 1
46 102 1
46 106 1
46 116 1
47 48 1
47 49 1
47 50 1
47 51 1
47 52 1
47 53 1
47 54 1
47 55 1
47 57 1
47 66 1
47 68 1
47 77 1
47 80 1
47 89 1
47 93 1
47 102 1
47 107 1
47 116 1
48 49 1
48 50 1
48 51 1
48 52 1
48 53 1
48 54 1
48 55 1
48 58 1
48 66 1
48 69 1
48 77 1
48 81 1
48 89 1
48 94 1
48 102 1
48 108 1
48 116 1
49 50 1
49 51 1
49 52 1
49 53 1
49 54 1
49 55 1
49 59 1
49 66 1
49 70 1
49 77 1
49 82 1
49 89 1
49 95 1
49 102 1
49 109 1
49 116 1
50 51 1
50 52 1
50 53 1
50 54 1
50 55 1
50 60 1
50 66 1
50 71 1
50 77 1
50 83 1
50 89 1
50 96 1
50 102 1
50 110 1
50 116 1
51 52 1
51 53 1
51 54 1
51 55 1
51 61 1
51 66 1
51 72 1
51 77 1
51 84 1
51 89 1
51 97 1
51 102 1
51 111 1
51 116 1
52 53 1
52 54 1
52 55 1
52 62 1
52 66 1
52 73 1
52 77 1
52 85 1
52 89 1
52 98 1
52 102 1
52 112 1
52 116 1
53 54 1
53 55 1
53 63 1
53 66 1
53 74 1
53 77 1
53 86 1
53 89 1
53 99 1
53 102 1
53 113 1
53 116 1
54 55 1
54 64 1
54 66 1
54 75 1
54 77 1
54 87 1
54 89 1
54 100 1
54 102 1
54 114 1
54 116 1
55 65 1
55 66 1
55 76 1
55 77 1
55 88 1
55 89 1
55 101 1
55 102 1
55 115 1
55 116 1
56 57 1
56 58 1
56 59 1
56 60 1
56 61 1
56 62 1
56 63 1
56 64 1
56 65 1
56 66 1
56 67 1
56 78 1
56 79 1
56 90 1
56 92 1
56 103 1
56 106 1
56 117 1
57 58 1
57 59 1
57 60 1
57 61 1
57 62 1
57 63 1
57 64 1
57 65 1
57 66 1
57 68 1
57 78 1
57 80 1
57 90 1
57 93 1
57 103 1
57 107 1
57 117 1
58 59 1
58 60 1
58 61 1
58 62 1
58 63 1
58 64 1
58 65 1
58 66 1
58 69 1
58 78 1
58 81 1
58 90 1
58 94 1
58 103 1
58 108 1
58 117 1
59 60 1
59 61 1
59 62 1
59 63 1
59 64 1
59 65 1
59 66 1
59 70 1
59 78 1
59 82 1
59 90 1
59 95 1
59 103 1
59 109 1
59 117 1
60 61 1
60 62 1
60 63 1
60 64 1
60 65 1
60 66 1
60 71 1
60 78 1
60 83 1
60 90 1
60 96 1
60 103 1
60 110 1
60 117 1
61 62 1
61 63 1
61 64 1
61 65 1
61 66 1
61 72 1
61 78 1
61 84 1
61 90 1
61 97 1
61 103 1
61 111 1
61 117 1
62 63 1
62 64 1
62 65 1
62 66 1
62 73 1
62 78 1
62 85 1
62 90 1
62 98 1
62 103 1
62 112 1
62 117 1
63 64 1
63 65 1
63 66 1
63 74 1
63 78 1
63 86 1
63 90 1
63 99 1
63 103 1
63 113 1
63 117 1
64 65 1
64 66 1
64 75 1
64 78 1
64 87 1
64 90 1
64 100 1
64 103 1
64 114 1
64 117 1
65 66 1
65 76 1
65 78 1
65 88 1
65 90 1
65 101 1
65 103 1
65 115 1
65 117 1
66 77 1
66 78 1
66 89 1
66 90 1
66 102 1
66 103 1
66 116 1
66 117 1
67 68 1
67 69 1
67 70 1
67 71 1
67 72 1
67 73 1
67 74 1
67 75 1
67 76 1
67 77 1
67 78 1
67 79 1
67 91 1
67 92 1
67 104 1
67 106 1
67 118 1
68 69 1
68 70 1
68 71 1
68 72 1
68 73 1
68 74 1
68 75 1
68 76 1
68 77 1
68 78 1
68 80 1
68 91 1
68 93 1
68 104 1
68 107 1
68 118 1
69 70 1
69 71 1
69 72 1
69 73 1
69 74 1
69 75 1
69 76 1
69 77 1
69 78 1
69 81 1
69 91 1
69 94 1
69 104 1
69 108 1
69 118 1
70 71 1
70 72 1
70 73 1
70 74 1
70 75 1
70 76 1
70 77 1
70 78 1
70 82 1
70 91 1
70 95 1
70 104 1
70 109 1
70 118 1
71 72 1
71 73 1
71 74 1
71 75 1
71 76 1
71 77 1
71 78 1
71 83 1
71 91 1
71 96 1
71 104 1
71 110 1
71 118 1
72 73 1
72 74 1
72 75 1
72 76 1
72 77 1
72 78 1
72 84 1
72 91 1
72 97 1
72 104 1
72 111 1
72 118 1
73 74 1
73 75 1
73 76 1
73 77 1
73 78 1
73 85 1
73 91 1
73 98 1
73 104 1
73 112 1
73 118 1
74 75 1
74 76 1
74 77 1
74 78 1
74 86 1
74 91 1
74 99 1
74 104 1
74 113 1
74 118 1
75 76 1
75 77 1
75 78 1
75 87 1
75 91 1
75 100 1
75 104 1
75 114 1
75 118 1
76 77 1
76 78 1
76 88 1
76 91 1
76 101 1
76 104 1
76 115 1
76 118 1
77 78 1
77 89 1
77 91 1
77 102 1
77 104 1
77 116 1
77 118 1
78 90 1
78 91 1
78 103 1
78 104 1
78 117 1
78 118 1
79 80 1
