171 5100
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 9 1
1 10 1
1 11 1
1 18 1
1 28 1
1 29 1
1 31 1
1 32 1
1 33 1
1 35 1
1 36 1
1 38 1
1 39 1
1 40 1
1 42 1
1 43 1
1 45 1
1 46 1
1 47 1
1 65 1
1 66 1
1 68 1
1 69 1
1 70 1
1 77 1
1 135 1
1 136 1
1 138 1
1 139 1
1 140 1
1 142 1
1 143 1
1 145 1
1 146 1
1 147 1
1 165 1
1 166 1
1 168 1
1 169 1
1 170 1
2 3 1
2 4 1
2 5 1
2 7 1
2 8 1
2 9 1
2 10 1
2 12 1
2 21 1
2 29 1
2 30 1
2 31 1
2 32 1
2 34 1
2 36 1
2 37 1
2 38 1
2 39 1
2 41 1
2 43 1
2 44 1
2 45 1
2 46 1
2 48 1
2 66 1
2 67 1
2 68 1
2 69 1
2 71 1
2 80 1
2 136 1
2 137 1
2 138 1
2 139 1
2 141 1
2 143 1
2 144 1
2 145 1
2 146 1
2 148 1
2 166 1
2 167 1
2 168 1
2 169 1
2 171 1
3 4 1
3 5 1
3 7 1
3 9 1
3 10 1
3 11 1
3 12 1
3 22 1
3 29 1
3 31 1
3 32 1
3 33 1
3 34 1
3 36 1
3 38 1
3 39 1
3 40 1
3 41 1
3 43 1
3 45 1
3 46 1
3 47 1
3 48 1
3 66 1
3 68 1
3 69 1
3 70 1
3 71 1
3 81 1
3 136 1
3 138 1
3 139 1
3 140 1
3 141 1
3 143 1
3 145 1
3 146 1
3 147 1
3 148 1
3 166 1
3 168 1
3 169 1
3 170 1
3 171 1
4 5 1
4 7 1
4 8 1
4 10 1
4 11 1
4 12 1
4 23 1
4 29 1
4 30 1
4 32 1
4 33 1
4 34 1
4 36 1
4 37 1
4 39 1
4 40 1
4 41 1
4 43 1
4 44 1
4 46 1
4 47 1
4 48 1
4 66 1
4 67 1
4 69 1
4 70 1
4 71 1
4 82 1
4 136 1
4 137 1
4 139 1
4 140 1
4 141 1
4 143 1
4 144 1
4 146 1
4 147 1
4 148 1
4 166 1
4 167 1
4 169 1
4 170 1
4 171 1
5 6 1
5 9 1
5 10 1
5 11 1
5 12 1
5 26 1
5 28 1
5 31 1
5 32 1
5 33 1
5 34 1
5 35 1
5 38 1
5 39 1
5 40 1
5 41 1
5 42 1
5 45 1
5 46 1
5 47 1
5 48 1
5 65 1
5 68 1
5 69 1
5 70 1
5 71 1
5 85 1
5 135 1
5 138 1
5 139 1
5 140 1
5 141 1
5 142 1
5 145 1
5 146 1
5 147 1
5 148 1
5 165 1
5 168 1
5 169 1
5 170 1
5 171 1
6 7 1
6 10 1
6 12 1
6 13 1
6 14 1
6 15 1
6 17 1
6 18 1
6 19 1
6 25 1
6 26 1
6 27 1
6 28 1
6 35 1
6 36 1
6 41 1
6 42 1
6 43 1
6 48 1
6 50 1
6 51 1
6 52 1
6 54 1
6 55 1
6 56 1
6 62 1
6 63 1
6 64 1
6 89 1
6 135 1
6 136 1
6 141 1
6 142 1
6 143 1
6 148 1
6 150 1
6 151 1
6 152 1
6 154 1
6 155 1
6 156 1
6 162 1
6 163 1
6 164 1
7 9 1
7 10 1
7 11 1
7 12 1
7 13 1
7 14 1
7 15 1
7 17 1
7 18 1
7 19 1
7 21 1
7 22 1
7 23 1
7 29 1
7 35 1
7 36 1
7 38 1
7 39 1
7 40 1
7 42 1
7 43 1
7 45 1
7 46 1
7 47 1
7 50 1
7 51 1
7 52 1
7 54 1
7 55 1
7 56 1
7 58 1
7 59 1
7 60 1
7 93 1
7 135 1
7 136 1
7 138 1
7 139 1
7 140 1
7 142 1
7 143 1
7 145 1
7 146 1
7 147 1
7 150 1
7 151 1
7 152 1
7 154 1
7 155 1
7 156 1
7 158 1
7 159 1
7 160 1
8 9 1
8 10 1
8 11 1
8 16 1
8 17 1
8 19 1
8 20 1
8 21 1
8 23 1
8 24 1
8 25 1
8 27 1
8 30 1
8 37 1
8 38 1
8 40 1
8 44 1
8 45 1
8 47 1
8 53 1
8 54 1
8 56 1
8 57 1
8 58 1
8 60 1
8 61 1
8 62 1
8 64 1
8 95 1
8 137 1
8 138 1
8 140 1
8 144 1
8 145 1
8 147 1
8 153 1
8 154 1
8 156 1
8 157 1
8 158 1
8 160 1
8 161 1
8 162 1
8 164 1
9 10 1
9 11 1
9 12 1
9 16 1
9 17 1
9 18 1
9 20 1
9 21 1
9 22 1
9 24 1
9 25 1
9 26 1
9 31 1
9 36 1
9 37 1
9 38 1
9 39 1
9 41 1
9 43 1
9 44 1
9 45 1
9 46 1
9 48 1
9 53 1
9 54 1
9 55 1
9 57 1
9 58 1
9 59 1
9 61 1
9 62 1
9 63 1
9 96 1
9 136 1
9 137 1
9 138 1
9 139 1
9 141 1
9 143 1
9 144 1
9 145 1
9 146 1
9 148 1
9 153 1
9 154 1
9 155 1
9 157 1
9 158 1
9 159 1
9 161 1
9 162 1
9 163 1
10 11 1
10 12 1
10 17 1
10 18 1
10 19 1
10 21 1
10 22 1
10 23 1
10 25 1
10 26 1
10 27 1
10 32 1
10 36 1
10 38 1
10 39 1
10 40 1
10 41 1
10 43 1
10 45 1
10 46 1
10 47 1
10 48 1
10 54 1
10 55 1
10 56 1
10 58 1
10 59 1
10 60 1
10 62 1
10 63 1
10 64 1
10 97 1
10 136 1
10 138 1
10 139 1
10 140 1
10 141 1
10 143 1
10 145 1
10 146 1
10 147 1
10 148 1
10 154 1
10 155 1
10 156 1
10 158 1
10 159 1
10 160 1
10 162 1
10 163 1
10 164 1
11 12 1
11 16 1
11 18 1
11 19 1
11 20 1
11 22 1
11 23 1
11 24 1
11 26 1
11 27 1
11 33 1
11 36 1
11 37 1
11 39 1
11 40 1
11 41 1
11 43 1
11 44 1
11 46 1
11 47 1
11 48 1
11 53 1
11 55 1
11 56 1
11 57 1
11 59 1
11 60 1
11 61 1
11 63 1
11 64 1
11 98 1
11 136 1
11 137 1
11 139 1
11 140 1
11 141 1
11 143 1
11 144 1
11 146 1
11 147 1
11 148 1
11 153 1
11 155 1
11 156 1
11 157 1
11 159 1
11 160 1
11 161 1
11 163 1
11 164 1
12 13 1
12 14 1
12 15 1
12 21 1
12 22 1
12 23 1
12 25 1
12 26 1
12 27 1
12 34 1
12 35 1
12 38 1
12 39 1
12 40 1
12 41 1
12 42 1
12 45 1
12 46 1
12 47 1
12 48 1
12 50 1
12 51 1
12 52 1
12 58 1
12 59 1
12 60 1
12 62 1
12 63 1
12 64 1
12 101 1
12 135 1
12 138 1
12 139 1
12 140 1
12 141 1
12 142 1
12 145 1
12 146 1
12 147 1
12 148 1
12 150 1
12 151 1
12 152 1
12 158 1
12 159 1
12 160 1
12 162 1
12 163 1
12 164 1
13 14 1
13 15 1
13 16 1
13 17 1
13 18 1
13 21 1
13 24 1
13 25 1
13 26 1
13 28 1
13 29 1
13 34 1
13 42 1
13 43 1
13 48 1
13 49 1
13 50 1
13 51 1
13 53 1
13 54 1
13 55 1
13 61 1
13 62 1
13 63 1
13 65 1
13 66 1
13 71 1
13 104 1
13 142 1
13 143 1
13 148 1
13 149 1
13 150 1
13 151 1
13 153 1
13 154 1
13 155 1
13 161 1
13 162 1
13 163 1
13 165 1
13 166 1
13 171 1
14 15 1
14 17 1
14 18 1
14 19 1
14 22 1
14 25 1
14 26 1
14 27 1
14 28 1
14 29 1
14 34 1
14 42 1
14 43 1
14 48 1
14 50 1
14 51 1
14 52 1
14 54 1
14 55 1
14 56 1
14 62 1
14 63 1
14 64 1
14 65 1
14 66 1
14 71 1
14 105 1
14 142 1
14 143 1
14 148 1
14 150 1
14 151 1
14 152 1
14 154 1
14 155 1
14 156 1
14 162 1
14 163 1
14 164 1
14 165 1
14 166 1
14 171 1
15 16 1
15 18 1
15 19 1
15 23 1
15 24 1
15 26 1
15 27 1
15 28 1
15 29 1
15 34 1
15 42 1
15 43 1
15 48 1
15 49 1
15 51 1
15 52 1
15 53 1
15 55 1
15 56 1
15 61 1
15 63 1
15 64 1
15 65 1
15 66 1
15 71 1
15 106 1
15 142 1
15 143 1
15 148 1
15 149 1
15 151 1
15 152 1
15 153 1
15 155 1
15 156 1
15 161 1
15 163 1
15 164 1
15 165 1
15 166 1
15 171 1
16 17 1
16 18 1
16 19 1
16 20 1
16 21 1
16 23 1
16 24 1
16 30 1
16 31 1
16 33 1
16 44 1
16 45 1
16 47 1
16 49 1
16 50 1
16 52 1
16 53 1
16 54 1
16 56 1
16 57 1
16 58 1
16 60 1
16 67 1
16 68 1
16 70 1
16 107 1
16 144 1
16 145 1
16 147 1
16 149 1
16 150 1
16 152 1
16 153 1
16 154 1
16 156 1
16 157 1
16 158 1
16 160 1
16 167 1
16 168 1
16 170 1
17 18 1
17 19 1
17 20 1
17 21 1
17 22 1
17 25 1
17 28 1
17 29 1
17 30 1
17 31 1
17 32 1
17 42 1
17 43 1
17 44 1
17 45 1
17 46 1
17 49 1
17 50 1
17 51 1
17 53 1
17 54 1
17 55 1
17 57 1
17 58 1
17 59 1
17 65 1
17 66 1
17 67 1
17 68 1
17 69 1
17 108 1
17 142 1
17 143 1
17 144 1
17 145 1
17 146 1
17 149 1
17 150 1
17 151 1
17 153 1
17 154 1
17 155 1
17 157 1
17 158 1
17 159 1
17 165 1
17 166 1
17 167 1
17 168 1
17 169 1
18 19 1
18 21 1
18 22 1
18 23 1
18 26 1
18 28 1
18 29 1
18 31 1
18 32 1
18 33 1
18 42 1
18 43 1
18 45 1
18 46 1
18 47 1
18 50 1
18 51 1
18 52 1
18 54 1
18 55 1
18 56 1
18 58 1
18 59 1
18 60 1
18 65 1
18 66 1
18 68 1
18 69 1
18 70 1
18 109 1
18 142 1
18 143 1
18 145 1
18 146 1
18 147 1
18 150 1
18 151 1
18 152 1
18 154 1
18 155 1
18 156 1
18 158 1
18 159 1
18 160 1
18 165 1
18 166 1
18 168 1
18 169 1
18 170 1
19 20 1
19 22 1
19 23 1
19 27 1
19 28 1
19 29 1
19 30 1
19 32 1
19 33 1
19 42 1
19 43 1
19 44 1
19 46 1
19 47 1
19 49 1
19 51 1
19 52 1
19 53 1
19 55 1
19 56 1
19 57 1
19 59 1
19 60 1
19 65 1
19 66 1
19 67 1
19 69 1
19 70 1
19 110 1
19 142 1
19 143 1
19 144 1
19 146 1
19 147 1
19 149 1
19 151 1
19 152 1
19 153 1
19 155 1
19 156 1
19 157 1
19 159 1
19 160 1
19 165 1
19 166 1
19 167 1
19 169 1
19 170 1
20 21 1
20 22 1
20 23 1
20 24 1
20 25 1
20 27 1
20 30 1
20 31 1
20 33 1
20 44 1
20 45 1
20 47 1
20 53 1
20 54 1
20 56 1
20 57 1
20 58 1
20 60 1
20 61 1
20 62 1
20 64 1
20 67 1
20 68 1
20 70 1
20 111 1
20 144 1
20 145 1
20 147 1
20 153 1
20 154 1
20 156 1
20 157 1
20 158 1
20 160 1
20 161 1
20 162 1
20 164 1
20 167 1
20 168 1
20 170 1
21 22 1
21 23 1
21 24 1
21 25 1
21 26 1
21 29 1
21 30 1
21 31 1
21 32 1
21 34 1
21 43 1
21 44 1
21 45 1
21 46 1
21 48 1
21 53 1
21 54 1
21 55 1
21 57 1
21 58 1
21 59 1
21 61 1
21 62 1
21 63 1
21 66 1
21 67 1
21 68 1
21 69 1
21 71 1
21 112 1
21 143 1
21 144 1
21 145 1
21 146 1
21 148 1
21 153 1
21 154 1
21 155 1
21 157 1
21 158 1
21 159 1
21 161 1
21 162 1
21 163 1
21 166 1
21 167 1
21 168 1
21 169 1
21 171 1
22 23 1
22 25 1
22 26 1
22 27 1
22 29 1
22 31 1
22 32 1
22 33 1
22 34 1
22 43 1
22 45 1
22 46 1
22 47 1
22 48 1
22 54 1
22 55 1
22 56 1
22 58 1
22 59 1
22 60 1
22 62 1
22 63 1
22 64 1
22 66 1
22 68 1
22 69 1
22 70 1
22 71 1
22 113 1
22 143 1
22 145 1
22 146 1
22 147 1
22 148 1
22 154 1
22 155 1
22 156 1
22 158 1
22 159 1
22 160 1
22 162 1
22 163 1
22 164 1
22 166 1
22 168 1
22 169 1
22 170 1
22 171 1
23 24 1
23 26 1
23 27 1
23 29 1
23 30 1
23 32 1
23 33 1
23 34 1
23 43 1
23 44 1
23 46 1
23 47 1
23 48 1
23 53 1
23 55 1
23 56 1
23 57 1
23 59 1
23 60 1
23 61 1
23 63 1
23 64 1
23 66 1
23 67 1
23 69 1
23 70 1
23 71 1
23 114 1
23 143 1
23 144 1
23 146 1
23 147 1
23 148 1
23 153 1
23 155 1
23 156 1
23 157 1
23 159 1
23 160 1
23 161 1
23 163 1
23 164 1
23 166 1
23 167 1
23 169 1
23 170 1
23 171 1
24 25 1
24 26 1
24 27 1
24 30 1
24 31 1
24 33 1
24 44 1
24 45 1
24 47 1
24 49 1
24 50 1
24 52 1
24 57 1
24 58 1
24 60 1
24 61 1
24 62 1
24 64 1
24 67 1
24 68 1
24 70 1
24 115 1
24 144 1
24 145 1
24 147 1
24 149 1
24 150 1
24 152 1
24 157 1
24 158 1
24 160 1
24 161 1
24 162 1
24 164 1
24 167 1
24 168 1
24 170 1
25 26 1
25 27 1
25 28 1
25 30 1
25 31 1
25 32 1
25 34 1
25 42 1
25 44 1
25 45 1
25 46 1
25 48 1
25 49 1
25 50 1
25 51 1
25 57 1
25 58 1
25 59 1
25 61 1
25 62 1
25 63 1
25 65 1
25 67 1
25 68 1
25 69 1
25 71 1
25 116 1
25 142 1
25 144 1
25 145 1
25 146 1
25 148 1
25 149 1
25 150 1
25 151 1
25 157 1
25 158 1
25 159 1
25 161 1
25 162 1
25 163 1
25 165 1
25 167 1
25 168 1
25 169 1
25 171 1
26 27 1
26 28 1
26 31 1
26 32 1
26 33 1
26 34 1
26 42 1
26 45 1
26 46 1
26 47 1
26 48 1
26 50 1
26 51 1
26 52 1
26 58 1
26 59 1
26 60 1
26 62 1
26 63 1
26 64 1
26 65 1
26 68 1
26 69 1
26 70 1
26 71 1
26 117 1
26 142 1
26 145 1
26 146 1
26 147 1
26 148 1
26 150 1
26 151 1
26 152 1
26 158 1
26 159 1
26 160 1
26 162 1
26 163 1
26 164 1
26 165 1
26 168 1
26 169 1
26 170 1
26 171 1
27 28 1
27 30 1
27 32 1
27 33 1
27 34 1
27 42 1
27 44 1
27 46 1
27 47 1
27 48 1
27 49 1
27 51 1
27 52 1
27 57 1
27 59 1
27 60 1
27 61 1
27 63 1
27 64 1
27 65 1
27 67 1
27 69 1
27 70 1
27 71 1
27 118 1
27 142 1
27 144 1
27 146 1
27 147 1
27 148 1
27 149 1
27 151 1
27 152 1
27 157 1
27 159 1
27 160 1
27 161 1
27 163 1
27 164 1
27 165 1
27 167 1
27 169 1
27 170 1
27 171 1
28 29 1
28 32 1
28 34 1
28 35 1
28 36 1
28 41 1
28 50 1
28 51 1
28 52 1
28 54 1
28 55 1
28 56 1
28 62 1
28 63 1
28 64 1
28 65 1
28 66 1
28 71 1
28 121 1
28 135 1
28 136 1
28 141 1
28 150 1
28 151 1
28 152 1
28 154 1
28 155 1
28 156 1
28 162 1
28 163 1
28 164 1
28 165 1
28 166 1
28 171 1
29 31 1
29 32 1
29 33 1
29 34 1
29 35 1
29 36 1
29 38 1
29 39 1
29 40 1
29 50 1
29 51 1
29 52 1
29 54 1
29 55 1
29 56 1
29 58 1
29 59 1
29 60 1
29 65 1
29 66 1
29 68 1
29 69 1
29 70 1
29 125 1
29 135 1
29 136 1
29 138 1
29 139 1
29 140 1
29 150 1
29 151 1
29 152 1
29 154 1
29 155 1
29 156 1
29 158 1
29 159 1
29 160 1
29 165 1
29 166 1
29 168 1
29 169 1
29 170 1
30 31 1
30 32 1
30 33 1
30 37 1
30 38 1
30 40 1
30 53 1
30 54 1
30 56 1
30 57 1
30 58 1
30 60 1
30 61 1
30 62 1
30 64 1
30 67 1
30 68 1
