97 2328
1 2 1
1 4 1
1 6 1
1 8 1
1 10 1
1 12 1
1 14 1
1 16 1
1 18 1
1 20 1
1 22 1
1 24 1
1 26 1
1 28 1
1 30 1
1 32 1
1 34 1
1 36 1
1 38 1
1 40 1
1 42 1
1 44 1
1 46 1
1 48 1
1 50 1
1 52 1
1 54 1
1 56 1
1 58 1
1 60 1
1 62 1
1 64 1
1 66 1
1 68 1
1 70 1
1 72 1
1 74 1
1 76 1
1 78 1
1 80 1
1 82 1
1 84 1
1 86 1
1 88 1
1 90 1
1 92 1
1 94 1
1 96 1
2 3 1
2 4 1
2 5 1
2 13 1
2 16 1
2 18 1
2 24 1
2 25 1
2 27 1
2 28 1
2 29 1
2 30 1
2 31 1
2 33 1
2 36 1
2 37 1
2 38 1
2 40 1
2 43 1
2 44 1
2 46 1
2 47 1
2 50 1
2 51 1
2 54 1
2 55 1
2 56 1
2 59 1
2 60 1
2 61 1
2 62 1
2 64 1
2 65 1
2 70 1
2 72 1
2 76 1
2 77 1
2 79 1
2 81 1
2 82 1
2 83 1
2 84 1
2 85 1
2 89 1
2 91 1
2 93 1
2 96 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 15 1
3 16 1
3 18 1
3 20 1
3 21 1
3 22 1
3 23 1
3 24 1
3 27 1
3 33 1
3 35 1
3 36 1
3 40 1
3 42 1
3 43 1
3 46 1
3 49 1
3 50 1
3 53 1
3 54 1
3 58 1
3 59 1
3 64 1
3 67 1
3 68 1
3 69 1
3 70 1
3 72 1
3 74 1
3 75 1
3 76 1
3 79 1
3 81 1
3 87 1
3 88 1
3 89 1
3 91 1
3 93 1
3 95 1
3 96 1
4 5 1
4 6 1
4 7 1
4 15 1
4 18 1
4 20 1
4 26 1
4 27 1
4 29 1
4 30 1
4 31 1
4 32 1
4 33 1
4 35 1
4 38 1
4 39 1
4 40 1
4 42 1
4 45 1
4 46 1
4 48 1
4 49 1
4 52 1
4 53 1
4 56 1
4 57 1
4 58 1
4 61 1
4 62 1
4 63 1
4 64 1
4 66 1
4 67 1
4 72 1
4 74 1
4 78 1
4 79 1
4 81 1
4 83 1
4 84 1
4 85 1
4 86 1
4 87 1
4 91 1
4 93 1
4 95 1
5 9 1
5 10 1
5 11 1
5 12 1
5 13 1
5 14 1
5 15 1
5 17 1
5 18 1
5 20 1
5 22 1
5 23 1
5 24 1
5 25 1
5 26 1
5 29 1
5 35 1
5 37 1
5 38 1
5 42 1
5 44 1
5 45 1
5 48 1
5 51 1
5 52 1
5 55 1
5 56 1
5 60 1
5 61 1
5 66 1
5 69 1
5 70 1
5 71 1
5 72 1
5 74 1
5 76 1
5 77 1
5 78 1
5 81 1
5 83 1
5 89 1
5 90 1
5 91 1
5 93 1
5 95 1
5 97 1
6 7 1
6 8 1
6 9 1
6 17 1
6 20 1
6 22 1
6 28 1
6 29 1
6 31 1
6 32 1
6 33 1
6 34 1
6 35 1
6 37 1
6 40 1
6 41 1
6 42 1
6 44 1
6 47 1
6 48 1
