200 5970
1 2 1
1 6 1
1 9 1
1 10 1
1 13 1
1 20 1
1 24 1
1 25 1
1 28 1
1 35 1
1 36 1
1 41 1
1 47 1
1 49 1
1 51 1
1 52 1
1 53 1
1 55 1
1 57 1
1 59 1
1 65 1
1 68 1
1 71 1
1 76 1
1 80 1
1 82 1
1 83 1
1 91 1
1 92 1
1 95 1
1 96 1
1 100 1
1 102 1
1 103 1
1 104 1
1 107 1
1 114 1
1 115 1
1 120 1
1 132 1
1 136 1
1 137 1
1 138 1
1 141 1
1 143 1
1 145 1
1 147 1
1 149 1
1 150 1
1 154 1
1 157 1
1 160 1
1 164 1
1 166 1
1 169 1
1 175 1
1 180 1
1 181 1
1 182 1
1 184 1
1 189 1
1 192 1
1 193 1
1 195 1
1 196 1
1 200 1
2 3 1
2 5 1
2 7 1
2 8 1
2 10 1
2 15 1
2 18 1
2 26 1
2 27 1
2 29 1
2 37 1
2 38 1
2 41 1
2 44 1
2 50 1
2 54 1
2 60 1
2 62 1
2 65 1
2 67 1
2 73 1
2 77 1
2 84 1
2 86 1
2 87 1
2 89 1
2 90 1
2 93 1
2 94 1
2 97 1
2 103 1
2 105 1
2 109 1
2 117 1
2 118 1
2 121 1
2 127 1
2 130 1
2 133 1
2 134 1
2 135 1
2 140 1
2 146 1
2 155 1
2 156 1
2 168 1
2 170 1
2 173 1
2 181 1
2 184 1
2 185 1
2 188 1
2 190 1
2 191 1
2 193 1
2 198 1
3 6 1
3 11 1
3 13 1
3 14 1
3 19 1
3 20 1
3 21 1
3 28 1
3 29 1
3 30 1
3 31 1
3 35 1
3 46 1
3 48 1
3 49 1
3 53 1
3 56 1
3 63 1
3 69 1
3 70 1
3 71 1
3 76 1
3 83 1
3 90 1
3 91 1
3 92 1
3 95 1
3 101 1
3 103 1
3 111 1
3 113 1
3 115 1
3 117 1
3 120 1
3 124 1
3 129 1
3 130 1
3 132 1
3 134 1
3 136 1
3 137 1
3 138 1
3 139 1
3 141 1
3 144 1
3 145 1
3 150 1
3 154 1
3 157 1
3 158 1
3 159 1
3 164 1
3 166 1
3 169 1
3 174 1
3 180 1
3 182 1
3 183 1
3 186 1
3 189 1
3 192 1
3 195 1
3 200 1
4 6 1
4 9 1
4 12 1
4 13 1
4 14 1
4 16 1
4 20 1
4 21 1
4 24 1
4 25 1
4 28 1
4 33 1
4 34 1
4 35 1
4 39 1
4 46 1
4 47 1
4 55 1
4 57 1
4 61 1
4 64 1
4 66 1
4 68 1
4 70 1
4 71 1
4 73 1
4 76 1
4 80 1
4 83 1
4 90 1
4 91 1
4 92 1
4 95 1
4 101 1
4 104 1
4 107 1
4 111 1
4 113 1
4 114 1
4 116 1
4 117 1
4 124 1
4 136 1
4 137 1
4 138 1
4 140 1
4 143 1
4 144 1
4 145 1
4 147 1
4 150 1
4 158 1
4 159 1
4 164 1
4 166 1
4 174 1
4 177 1
4 180 1
4 182 1
4 183 1
4 184 1
4 187 1
4 193 1
4 194 1
4 195 1
4 196 1
5 9 1
5 11 1
5 13 1
5 14 1
5 16 1
5 20 1
5 21 1
5 24 1
5 28 1
5 29 1
5 30 1
5 31 1
5 35 1
5 36 1
5 37 1
5 46 1
5 51 1
5 52 1
5 53 1
5 56 1
5 64 1
5 70 1
5 72 1
5 75 1
5 76 1
5 78 1
5 79 1
5 80 1
5 85 1
5 86 1
5 90 1
5 91 1
5 95 1
5 102 1
5 103 1
5 107 1
5 111 1
5 114 1
5 116 1
5 119 1
5 120 1
5 124 1
5 125 1
5 129 1
5 132 1
5 136 1
5 137 1
5 144 1
5 147 1
5 150 1
5 154 1
5 157 1
5 158 1
5 159 1
5 162 1
5 164 1
5 165 1
5 166 1
5 167 1
5 170 1
5 175 1
5 177 1
5 180 1
5 189 1
5 192 1
5 193 1
5 195 1
5 197 1
6 8 1
6 10 1
6 12 1
6 15 1
6 16 1
6 19 1
6 27 1
6 32 1
6 33 1
6 37 1
6 40 1
6 41 1
6 42 1
6 45 1
6 48 1
6 50 1
6 55 1
6 59 1
6 62 1
6 66 1
6 70 1
6 72 1
6 74 1
6 77 1
6 81 1
6 83 1
6 85 1
6 86 1
6 88 1
6 93 1
6 98 1
6 106 1
6 109 1
6 123 1
6 134 1
6 142 1
6 146 1
6 148 1
6 152 1
6 160 1
6 161 1
6 163 1
6 168 1
6 171 1
6 172 1
6 173 1
6 176 1
6 177 1
6 181 1
6 185 1
6 191 1
7 9 1
7 21 1
7 25 1
7 29 1
7 31 1
7 34 1
7 35 1
7 39 1
7 44 1
7 47 1
7 48 1
7 51 1
7 52 1
7 56 1
7 57 1
7 58 1
7 61 1
7 62 1
7 68 1
7 70 1
7 71 1
7 75 1
7 76 1
7 78 1
7 79 1
7 82 1
7 83 1
7 90 1
7 91 1
7 92 1
7 94 1
7 95 1
7 100 1
7 101 1
7 102 1
7 107 1
7 113 1
7 115 1
7 116 1
7 117 1
7 118 1
7 119 1
7 120 1
7 124 1
7 125 1
7 136 1
7 141 1
7 142 1
7 145 1
7 150 1
7 154 1
7 159 1
7 164 1
7 166 1
7 169 1
7 174 1
7 177 1
7 180 1
7 187 1
7 189 1
7 193 1
7 194 1
7 195 1
8 11 1
8 13 1
8 14 1
8 15 1
8 16 1
8 25 1
8 30 1
8 31 1
8 34 1
8 35 1
8 36 1
8 39 1
8 46 1
8 47 1
8 51 1
8 53 1
8 55 1
8 57 1
8 63 1
8 64 1
8 68 1
8 70 1
8 71 1
8 78 1
8 79 1
8 80 1
8 83 1
8 90 1
8 92 1
8 95 1
8 100 1
8 101 1
8 103 1
8 104 1
8 111 1
8 112 1
8 113 1
8 115 1
8 119 1
8 124 1
8 126 1
8 127 1
8 136 1
8 141 1
8 144 1
8 149 1
8 151 1
8 153 1
8 154 1
8 157 1
8 158 1
8 162 1
8 166 1
8 172 1
8 174 1
8 183 1
8 187 1
8 195 1
8 196 1
8 197 1
9 10 1
9 12 1
9 15 1
9 17 1
9 22 1
9 25 1
9 26 1
9 27 1
9 32 1
9 33 1
9 37 1
9 40 1
9 41 1
9 42 1
9 43 1
9 50 1
9 60 1
9 66 1
9 72 1
9 74 1
9 81 1
9 84 1
9 86 1
9 92 1
9 93 1
9 94 1
9 96 1
9 98 1
9 105 1
9 106 1
9 107 1
9 109 1
9 110 1
9 122 1
9 123 1
9 134 1
9 139 1
9 140 1
9 142 1
9 148 1
9 151 1
9 155 1
9 160 1
9 163 1
9 175 1
9 176 1
9 181 1
9 185 1
9 188 1
9 191 1
9 197 1
9 198 1
9 199 1
10 13 1
10 16 1
10 20 1
10 24 1
10 25 1
10 29 1
10 30 1
10 35 1
10 36 1
10 39 1
10 41 1
10 46 1
10 47 1
10 49 1
10 51 1
10 52 1
10 55 1
10 59 1
10 63 1
10 65 1
10 68 1
10 70 1
10 71 1
10 80 1
10 82 1
10 83 1
10 90 1
10 92 1
10 95 1
10 96 1
10 100 1
10 101 1
10 102 1
10 111 1
10 114 1
10 115 1
10 116 1
10 120 1
10 129 1
10 132 1
10 136 1
10 137 1
10 138 1
10 144 1
10 145 1
10 149 1
10 150 1
10 154 1
10 157 1
10 158 1
10 159 1
10 160 1
10 162 1
10 167 1
10 175 1
10 177 1
10 179 1
10 181 1
10 182 1
10 183 1
10 184 1
10 186 1
10 187 1
10 193 1
10 194 1
10 195 1
10 196 1
10 197 1
11 12 1
11 15 1
11 18 1
11 22 1
11 23 1
11 30 1
11 33 1
11 38 1
11 40 1
11 45 1
11 54 1
11 60 1
11 65 1
11 72 1
11 77 1
11 86 1
11 88 1
11 102 1
11 110 1
11 120 1
11 121 1
11 123 1
11 126 1
11 127 1
11 128 1
11 131 1
11 134 1
11 152 1
11 155 1
11 157 1
11 159 1
11 160 1
11 161 1
11 165 1
11 170 1
11 171 1
11 176 1
11 178 1
11 187 1
11 188 1
11 191 1
11 198 1
12 14 1
12 20 1
12 24 1
12 25 1
12 28 1
12 29 1
12 30 1
12 33 1
12 36 1
12 39 1
12 48 1
12 51 1
12 52 1
12 56 1
12 61 1
12 63 1
12 66 1
12 68 1
12 70 1
12 71 1
12 73 1
12 75 1
12 76 1
12 79 1
12 80 1
12 82 1
12 83 1
12 96 1
12 102 1
12 103 1
12 104 1
12 112 1
12 114 1
12 115 1
12 116 1
12 119 1
12 124 1
12 125 1
12 129 1
12 140 1
12 145 1
12 149 1
12 159 1
12 162 1
12 166 1
12 167 1
12 174 1
12 179 1
12 180 1
12 183 1
12 186 1
12 189 1
12 192 1
12 193 1
12 194 1
13 15 1
13 17 1
13 18 1
13 21 1
13 26 1
13 32 1
13 38 1
13 40 1
13 42 1
13 43 1
13 44 1
13 45 1
13 50 1
13 54 1
13 58 1
13 60 1
13 65 1
13 66 1
13 67 1
13 73 1
13 74 1
13 77 1
13 80 1
13 84 1
13 87 1
13 98 1
13 105 1
13 108 1
13 109 1
13 118 1
13 123 1
13 125 1
13 126 1
13 127 1
13 128 1
13 131 1
13 133 1
13 135 1
13 137 1
13 139 1
13 142 1
13 146 1
13 150 1
13 152 1
13 156 1
13 161 1
13 163 1
13 168 1
13 171 1
13 173 1
13 178 1
13 181 1
13 185 1
13 191 1
13 199 1
14 15 1
14 18 1
14 26 1
14 32 1
14 36 1
14 37 1
14 42 1
14 43 1
14 44 1
14 49 1
14 54 1
14 60 1
14 62 1
14 63 1
14 66 1
14 67 1
14 69 1
14 72 1
14 73 1
14 74 1
14 77 1
14 81 1
14 86 1
14 89 1
14 99 1
14 100 1
14 105 1
14 106 1
14 109 1
14 110 1
14 114 1
14 118 1
14 121 1
14 123 1
14 128 1
14 130 1
14 131 1
14 133 1
14 134 1
14 139 1
14 142 1
14 148 1
14 151 1
14 163 1
14 165 1
14 166 1
14 173 1
14 176 1
14 178 1
14 181 1
14 185 1
14 188 1
14 190 1
14 191 1
14 198 1
14 199 1
15 16 1
15 20 1
15 21 1
15 24 1
15 25 1
15 29 1
15 30 1
15 31 1
15 39 1
15 47 1
15 48 1
15 52 1
15 57 1
15 58 1
15 63 1
15 64 1
15 70 1
15 71 1
15 75 1
15 76 1
15 80 1
15 82 1
15 90 1
15 91 1
15 95 1
15 96 1
15 101 1
15 103 1
15 104 1
15 107 1
15 113 1
15 114 1
15 115 1
15 120 1
15 124 1
15 126 1
15 127 1
15 132 1
15 138 1
15 141 1
15 150 1
15 151 1
15 154 1
15 157 1
15 158 1
15 159 1
15 164 1
15 169 1
15 172 1
15 174 1
15 175 1
15 177 1
15 183 1
15 184 1
15 186 1
15 187 1
15 192 1
15 194 1
15 197 1
15 200 1
16 23 1
16 26 1
16 27 1
16 32 1
16 33 1
16 40 1
16 43 1
16 45 1
16 48 1
16 55 1
16 59 1
16 60 1
16 62 1
16 65 1
16 66 1
16 70 1
16 73 1
16 74 1
16 83 1
16 84 1
16 85 1
16 86 1
16 88 1
16 94 1
16 97 1
16 105 1
16 106 1
16 110 1
16 121 1
16 122 1
16 127 1
16 130 1
16 133 1
16 135 1
16 146 1
16 148 1
16 151 1
16 155 1
16 165 1
16 173 1
16 177 1
16 178 1
16 181 1
16 188 1
16 198 1
16 199 1
17 20 1
17 24 1
17 28 1
17 29 1
17 34 1
17 39 1
17 47 1
17 48 1
17 49 1
17 53 1
17 57 1
17 58 1
17 61 1
17 63 1
17 64 1
17 67 1
17 68 1
17 71 1
17 78 1
17 79 1
17 82 1
17 90 1
17 91 1
17 93 1
17 96 1
17 99 1
17 100 1
17 101 1
17 104 1
17 107 1
