200 6032
1 10 1
1 12 1
1 13 1
1 18 1
1 20 1
1 23 1
1 24 1
1 25 1
1 29 1
1 32 1
1 35 1
1 40 1
1 41 1
1 42 1
1 44 1
1 53 1
1 56 1
1 62 1
1 65 1
1 70 1
1 71 1
1 76 1
1 83 1
1 85 1
1 86 1
1 87 1
1 92 1
1 93 1
1 95 1
1 100 1
1 101 1
1 109 1
1 112 1
1 117 1
1 122 1
1 123 1
1 124 1
1 129 1
1 132 1
1 133 1
1 136 1
1 142 1
1 145 1
1 148 1
1 150 1
1 154 1
1 156 1
1 167 1
1 168 1
1 175 1
1 177 1
1 184 1
1 187 1
1 190 1
1 191 1
1 192 1
1 193 1
1 198 1
2 5 1
2 7 1
2 9 1
2 10 1
2 12 1
2 19 1
2 23 1
2 26 1
2 30 1
2 34 1
2 39 1
2 41 1
2 48 1
2 52 1
2 57 1
2 62 1
2 65 1
2 67 1
2 69 1
2 72 1
2 73 1
2 77 1
2 80 1
2 83 1
2 95 1
2 104 1
2 105 1
2 112 1
2 113 1
2 115 1
2 117 1
2 119 1
2 125 1
2 137 1
2 145 1
2 152 1
2 155 1
2 157 1
2 160 1
2 162 1
2 177 1
2 178 1
2 179 1
2 183 1
2 184 1
2 185 1
2 186 1
2 198 1
3 5 1
3 6 1
3 7 1
3 16 1
3 24 1
3 29 1
3 33 1
3 34 1
3 35 1
3 37 1
3 41 1
3 44 1
3 46 1
3 60 1
3 62 1
3 64 1
3 74 1
3 82 1
3 83 1
3 91 1
3 96 1
3 98 1
3 100 1
3 102 1
3 104 1
3 107 1
3 109 1
3 111 1
3 114 1
3 117 1
3 126 1
3 128 1
3 131 1
3 134 1
3 135 1
3 136 1
3 137 1
3 138 1
3 139 1
3 140 1
3 142 1
3 151 1
3 152 1
3 157 1
3 162 1
3 175 1
3 179 1
3 180 1
3 181 1
3 182 1
3 183 1
3 185 1
3 186 1
3 189 1
3 195 1
3 196 1
4 6 1
4 12 1
4 13 1
4 14 1
4 15 1
4 18 1
4 19 1
4 21 1
4 24 1
4 25 1
4 30 1
4 32 1
4 36 1
4 40 1
4 43 1
4 46 1
4 47 1
4 48 1
4 56 1
4 60 1
4 65 1
4 76 1
4 77 1
4 82 1
4 83 1
4 86 1
4 87 1
4 89 1
4 92 1
4 94 1
4 97 1
4 102 1
4 107 1
4 108 1
4 117 1
4 122 1
4 127 1
4 129 1
4 131 1
4 140 1
4 141 1
4 146 1
4 151 1
4 157 1
4 159 1
4 162 1
4 163 1
4 167 1
4 168 1
4 169 1
4 172 1
4 174 1
4 176 1
4 177 1
4 178 1
4 179 1
4 180 1
4 185 1
4 186 1
4 189 1
4 194 1
4 195 1
4 196 1
4 198 1
4 200 1
5 6 1
5 8 1
5 11 1
5 13 1
5 16 1
5 18 1
5 26 1
5 32 1
5 42 1
5 48 1
5 50 1
5 52 1
5 54 1
5 62 1
5 66 1
5 67 1
5 73 1
5 74 1
5 75 1
5 80 1
5 82 1
5 89 1
5 95 1
5 98 1
5 100 1
5 101 1
5 102 1
5 103 1
5 105 1
5 107 1
5 109 1
5 111 1
5 112 1
5 113 1
5 120 1
5 126 1
5 127 1
5 136 1
5 137 1
5 139 1
5 142 1
5 149 1
5 150 1
5 153 1
5 158 1
5 159 1
5 161 1
5 164 1
5 167 1
5 170 1
5 171 1
5 172 1
5 175 1
5 176 1
5 177 1
5 189 1
5 192 1
5 193 1
5 195 1
5 199 1
6 8 1
6 10 1
6 13 1
6 14 1
6 21 1
6 22 1
6 27 1
6 28 1
6 30 1
6 31 1
6 38 1
6 39 1
6 40 1
6 41 1
6 42 1
6 43 1
6 45 1
6 47 1
6 49 1
6 51 1
6 55 1
6 57 1
6 58 1
6 61 1
6 62 1
6 66 1
6 68 1
6 69 1
6 71 1
6 72 1
6 73 1
6 76 1
6 77 1
6 82 1
6 92 1
6 100 1
6 105 1
6 113 1
6 124 1
6 129 1
6 130 1
6 139 1
6 142 1
6 143 1
6 147 1
6 150 1
6 156 1
6 160 1
6 163 1
6 167 1
6 169 1
6 171 1
6 176 1
6 177 1
6 181 1
6 182 1
6 187 1
6 189 1
6 198 1
7 9 1
7 17 1
7 21 1
7 23 1
7 28 1
7 32 1
7 34 1
7 37 1
7 39 1
7 40 1
7 44 1
7 48 1
7 49 1
7 53 1
7 57 1
7 61 1
7 67 1
7 69 1
7 70 1
7 73 1
7 77 1
7 78 1
7 85 1
7 90 1
7 91 1
7 94 1
7 95 1
7 96 1
7 98 1
7 100 1
7 106 1
7 107 1
7 108 1
7 110 1
7 112 1
7 114 1
7 115 1
7 123 1
7 124 1
7 126 1
7 135 1
7 142 1
7 143 1
7 144 1
7 145 1
7 146 1
7 147 1
7 148 1
7 152 1
7 153 1
7 157 1
7 163 1
7 164 1
7 168 1
7 171 1
7 176 1
7 180 1
7 182 1
7 185 1
7 188 1
7 190 1
7 192 1
7 195 1
7 197 1
8 11 1
8 13 1
8 18 1
8 20 1
8 22 1
8 28 1
8 32 1
8 37 1
8 43 1
8 44 1
8 52 1
8 58 1
8 60 1
8 61 1
8 73 1
8 76 1
8 77 1
8 80 1
8 81 1
8 82 1
8 88 1
8 89 1
8 92 1
8 102 1
8 103 1
8 108 1
8 109 1
8 111 1
8 112 1
8 115 1
8 116 1
8 127 1
8 131 1
8 133 1
8 134 1
8 142 1
8 148 1
8 152 1
8 154 1
8 167 1
8 168 1
8 170 1
8 173 1
8 179 1
8 180 1
8 183 1
8 189 1
8 193 1
8 198 1
9 10 1
9 14 1
9 20 1
9 22 1
9 23 1
9 27 1
9 33 1
9 35 1
9 38 1
9 39 1
9 47 1
9 59 1
9 62 1
9 68 1
9 69 1
9 73 1
9 76 1
9 77 1
9 83 1
9 84 1
9 86 1
9 87 1
9 88 1
9 89 1
9 96 1
9 102 1
9 103 1
9 109 1
9 114 1
9 116 1
9 117 1
9 119 1
9 120 1
9 123 1
9 136 1
9 137 1
9 138 1
9 139 1
9 140 1
9 146 1
9 148 1
9 155 1
9 156 1
9 157 1
9 158 1
9 159 1
9 167 1
9 170 1
9 173 1
9 174 1
9 175 1
9 179 1
9 180 1
10 12 1
10 13 1
10 16 1
10 23 1
10 31 1
10 32 1
10 36 1
10 42 1
10 44 1
10 47 1
10 49 1
10 50 1
10 51 1
10 52 1
10 54 1
10 58 1
10 59 1
10 62 1
10 64 1
10 68 1
10 70 1
10 76 1
10 77 1
10 78 1
10 81 1
10 94 1
10 101 1
10 105 1
10 106 1
10 109 1
10 113 1
10 114 1
10 115 1
10 116 1
10 117 1
10 124 1
10 133 1
10 136 1
10 141 1
10 143 1
10 146 1
10 149 1
10 158 1
10 165 1
10 166 1
10 167 1
10 171 1
10 172 1
10 173 1
10 174 1
10 178 1
10 179 1
10 188 1
10 195 1
10 199 1
11 12 1
11 13 1
11 15 1
11 23 1
11 27 1
11 29 1
11 31 1
11 33 1
11 40 1
11 42 1
11 43 1
11 44 1
11 49 1
11 52 1
11 53 1
11 54 1
11 59 1
11 61 1
11 65 1
11 66 1
11 71 1
11 73 1
11 75 1
11 76 1
11 80 1
11 86 1
11 87 1
11 88 1
11 89 1
11 98 1
11 101 1
11 104 1
11 107 1
11 113 1
11 114 1
11 125 1
11 130 1
11 132 1
11 133 1
11 134 1
11 135 1
11 139 1
11 140 1
11 144 1
11 148 1
11 149 1
11 152 1
11 159 1
11 168 1
11 174 1
11 183 1
11 187 1
11 189 1
11 190 1
11 191 1
11 197 1
11 200 1
12 13 1
12 15 1
12 17 1
12 18 1
12 19 1
12 22 1
12 28 1
12 33 1
12 34 1
12 39 1
12 43 1
12 46 1
12 48 1
12 51 1
12 61 1
12 64 1
12 66 1
12 67 1
12 68 1
12 71 1
12 72 1
12 73 1
12 74 1
12 76 1
12 81 1
12 84 1
12 88 1
12 90 1
12 92 1
12 94 1
12 96 1
12 99 1
12 103 1
12 104 1
12 107 1
12 108 1
12 113 1
12 117 1
12 123 1
12 128 1
12 133 1
12 138 1
12 140 1
12 151 1
12 152 1
12 156 1
12 159 1
12 167 1
12 170 1
12 176 1
12 183 1
12 184 1
12 185 1
12 189 1
12 194 1
12 195 1
12 196 1
13 18 1
13 23 1
13 26 1
13 28 1
13 29 1
13 30 1
13 32 1
13 36 1
13 37 1
13 38 1
13 40 1
13 41 1
13 46 1
13 47 1
13 50 1
13 51 1
13 52 1
13 55 1
13 61 1
13 62 1
13 63 1
13 69 1
13 70 1
13 75 1
13 76 1
13 78 1
13 80 1
13 82 1
13 87 1
13 95 1
13 99 1
13 102 1
13 112 1
13 114 1
13 116 1
13 119 1
13 120 1
13 121 1
13 131 1
13 135 1
13 137 1
13 139 1
13 145 1
13 146 1
13 148 1
13 151 1
13 160 1
13 162 1
13 164 1
13 172 1
13 174 1
13 176 1
13 177 1
13 179 1
13 181 1
13 182 1
13 184 1
13 185 1
13 194 1
13 196 1
14 16 1
14 19 1
14 20 1
14 25 1
14 36 1
14 42 1
14 43 1
14 47 1
14 48 1
14 49 1
14 50 1
14 55 1
14 62 1
14 64 1
14 66 1
14 81 1
14 83 1
14 86 1
14 89 1
14 90 1
14 91 1
14 93 1
14 96 1
14 98 1
14 103 1
14 105 1
14 106 1
14 107 1
14 109 1
14 111 1
14 112 1
14 113 1
14 119 1
14 123 1
14 126 1
14 133 1
14 134 1
14 135 1
14 139 1
14 142 1
14 148 1
14 149 1
14 156 1
14 157 1
14 161 1
14 163 1
14 173 1
14 174 1
14 178 1
14 181 1
14 183 1
14 191 1
14 192 1
14 194 1
14 200 1
15 16 1
15 19 1
15 22 1
15 24 1
15 26 1
15 28 1
15 29 1
15 34 1
15 37 1
15 40 1
15 49 1
15 50 1
15 52 1
15 53 1
15 54 1
15 57 1
15 59 1
15 63 1
15 64 1
15 68 1
15 73 1
15 83 1
15 89 1
15 91 1
15 97 1
15 102 1
15 105 1
15 110 1
15 116 1
15 119 1
15 124 1
15 132 1
15 143 1
15 144 1
15 146 1
15 148 1
15 152 1
15 157 1
15 161 1
15 162 1
15 169 1
15 175 1
15 180 1
15 181 1
15 183 1
15 188 1
15 193 1
16 17 1
16 20 1
16 30 1
16 32 1
16 35 1
16 40 1
16 43 1
16 45 1
16 47 1
16 48 1
16 56 1
16 60 1
16 62 1
16 64 1
16 65 1
16 70 1
16 72 1
16 80 1
16 82 1
16 85 1
16 88 1
16 91 1
16 92 1
16 95 1
16 97 1
16 109 1
16 113 1
16 116 1
16 117 1
16 118 1
16 119 1
16 124 1
16 125 1
16 126 1
16 130 1
16 131 1
16 145 1
16 146 1
16 148 1
16 150 1
16 151 1
16 157 1
16 159 1
16 162 1
16 165 1
16 170 1
16 172 1
16 174 1
16 179 1
16 181 1
16 182 1
16 185 1
16 188 1
16 189 1
16 191 1
16 196 1
16 197 1
17 24 1
17 25 1
17 32 1
17 34 1
17 37 1
17 42 1
17 45 1
17 55 1
17 59 1
17 63 1
17 64 1
17 68 1
17 71 1
17 80 1
17 84 1
17 86 1
17 88 1
17 91 1
17 94 1
17 104 1
17 111 1
17 114 1
17 117 1
17 121 1
17 131 1
17 133 1
17 137 1
17 140 1
17 144 1
17 150 1
17 152 1
17 155 1
17 159 1
17 161 1
17 162 1
17 166 1
17 167 1
17 177 1
17 178 1
17 179 1
17 180 1
17 184 1
17 185 1
17 188 1
17 189 1
17 191 1
17 196 1
17 198 1
17 200 1
18 19 1
18 25 1
18 30 1
18 31 1
18 32 1
18 33 1
18 39 1
18 43 1
18 45 1
18 48 1
18 53 1
18 56 1
18 57 1
18 63 1
18 65 1
18 71 1
18 74 1
18 75 1
18 81 1
18 88 1
18 90 1
18 100 1
18 103 1
18 106 1
18 109 1
18 110 1
18 111 1
18 112 1
18 118 1
18 121 1
18 124 1
18 126 1
18 127 1
18 128 1
18 129 1
18 133 1
18 139 1
18 142 1
18 145 1
18 147 1
18 148 1
18 150 1
18 158 1
18 160 1
18 165 1
18 176 1
18 179 1
18 183 1
18 186 1
18 190 1
18 193 1
18 194 1
18 197 1
19 21 1
19 31 1
19 33 1
19 37 1
19 38 1
19 46 1
19 56 1
19 57 1
19 61 1
19 66 1
19 69 1
19 71 1
19 89 1
19 94 1
19 96 1
19 97 1
19 102 1
19 106 1
19 107 1
19 110 1
19 111 1
19 112 1
19 113 1
19 115 1
19 118 1
19 122 1
19 125 1
19 126 1
19 128 1
19 132 1
19 134 1
19 137 1
19 138 1
19 140 1
19 141 1
19 143 1
19 146 1
19 148 1
19 149 1
19 151 1
19 152 1
19 158 1
19 167 1
19 169 1
19 172 1
19 173 1
19 174 1
19 178 1
19 184 1
19 186 1
19 188 1
19 192 1
19 199 1
20 22 1
20 23 1
20 25 1
20 30 1
20 31 1
20 33 1
20 46 1
20 47 1
20 49 1
20 55 1
20 63 1
20 64 1
20 69 1
20 82 1
20 83 1
20 84 1
20 88 1
20 89 1
20 90 1
20 93 1
20 95 1
20 98 1
20 103 1
20 110 1
20 113 1
20 114 1
20 116 1
20 118 1
20 119 1
20 128 1
20 133 1
20 136 1
20 138 1
20 141 1
20 143 1
20 156 1
20 159 1
20 160 1
20 161 1
20 166 1
20 169 1
20 172 1
20 177 1
20 178 1
20 180 1
20 188 1
20 191 1
20 192 1
20 198 1
21 22 1
21 24 1
21 26 1
21 28 1
21 35 1
21 36 1
21 43 1
21 46 1
21 51 1
21 53 1
21 55 1
21 58 1
21 60 1
21 68 1
21 71 1
21 73 1
21 75 1
21 79 1
21 80 1
21 82 1
21 83 1
21 85 1
21 87 1
21 90 1
21 91 1
21 96 1
21 104 1
21 105 1
21 106 1
21 115 1
21 117 1
21 123 1
21 124 1
21 126 1
21 138 1
21 147 1
21 150 1
21 158 1
21 160 1
21 161 1
21 162 1
21 173 1
21 174 1
21 177 1
21 178 1
21 179 1
21 181 1
21 183 1
21 184 1
21 188 1
21 189 1
21 192 1
21 194 1
21 196 1
21 198 1
21 199 1
22 29 1
22 35 1
22 46 1
22 47 1
22 50 1
22 57 1
22 58 1
22 61 1
22 66 1
22 70 1
22 71 1
22 79 1
22 82 1
22 88 1
22 98 1
22 99 1
22 104 1
22 105 1
22 108 1
22 109 1
22 122 1
22 124 1
22 128 1
22 129 1
22 130 1
22 137 1
22 138 1
22 140 1
22 142 1
22 143 1
22 150 1
22 151 1
22 156 1
22 162 1
22 166 1
22 169 1
22 170 1
22 171 1
22 172 1
22 175 1
22 176 1
22 177 1
22 180 1
22 182 1
22 184 1
22 185 1
22 189 1
22 192 1
22 194 1
22 198 1
23 30 1
23 36 1
23 37 1
23 39 1
23 42 1
23 46 1
23 48 1
23 50 1
23 54 1
23 55 1
23 65 1
23 70 1
23 71 1
23 73 1
23 75 1
23 76 1
23 77 1
23 79 1
23 83 1
23 84 1
23 86 1
23 116 1
23 117 1
23 118 1
23 122 1
23 131 1
23 133 1
23 135 1
23 143 1
23 144 1
23 150 1
23 156 1
23 158 1
23 163 1
23 167 1
23 168 1
23 169 1
23 170 1
23 171 1
23 177 1
23 178 1
23 179 1
23 180 1
23 185 1
23 186 1
23 188 1
23 189 1
23 193 1
23 194 1
24 29 1
24 31 1
24 34 1
24 36 1
24 41 1
24 44 1
24 47 1
24 51 1
24 54 1
24 55 1
24 57 1
24 59 1
24 61 1
24 62 1
24 65 1
24 66 1
24 68 1
24 69 1
24 71 1
24 72 1
24 74 1
24 75 1
24 76 1
24 91 1
24 93 1
24 95 1
24 97 1
24 98 1
24 100 1
24 101 1
24 103 1
24 113 1
24 116 1
24 118 1
24 119 1
24 121 1
24 123 1
24 124 1
24 125 1
24 130 1
24 138 1
24 140 1
24 142 1
24 143 1
24 145 1
24 151 1
24 153 1
24 154 1
24 166 1
24 169 1
24 171 1
24 174 1
24 175 1
24 179 1
24 180 1
24 182 1
24 187 1
24 188 1
24 190 1
24 192 1
24 200 1
25 29 1
25 30 1
25 38 1
25 45 1
25 47 1
25 48 1
25 49 1
25 52 1
25 59 1
25 62 1
25 65 1
25 71 1
25 72 1
25 78 1
25 81 1
25 82 1
25 83 1
25 86 1
25 87 1
25 91 1
25 98 1
25 99 1
25 100 1
25 102 1
25 106 1
25 110 1
25 111 1
25 113 1
25 115 1
25 118 1
25 119 1
25 120 1
25 126 1
25 128 1
25 131 1
25 138 1
25 140 1
25 142 1
25 151 1
25 157 1
25 161 1
25 162 1
25 168 1
25 170 1
25 172 1
25 174 1
25 176 1
25 177 1
25 179 1
25 181 1
25 182 1
25 185 1
25 188 1
25 196 1
25 200 1
26 27 1
26 31 1
26 32 1
26 34 1
26 37 1
26 41 1
26 43 1
26 45 1
26 47 1
26 51 1
26 56 1
26 57 1
26 59 1
26 62 1
26 64 1
26 65 1
26 66 1
26 74 1
26 83 1
26 91 1
26 92 1
26 95 1
26 96 1
26 102 1
26 104 1
26 105 1
26 106 1
26 108 1
26 113 1
26 120 1
26 121 1
26 123 1
26 132 1
26 135 1
26 138 1
26 140 1
26 142 1
26 147 1
26 156 1
26 161 1
26 165 1
26 169 1
26 170 1
26 176 1
26 178 1
26 182 1
26 185 1
26 186 1
26 191 1
26 193 1
26 194 1
26 200 1
27 32 1
27 33 1
27 35 1
27 37 1
27 41 1
27 44 1
27 53 1
27 62 1
27 64 1
27 70 1
27 73 1
27 79 1
27 80 1
27 87 1
27 90 1
27 91 1
27 93 1
27 95 1
27 100 1
27 101 1
27 104 1
27 107 1
27 109 1
27 110 1
27 118 1
27 119 1
27 121 1
27 122 1
27 127 1
27 130 1
27 135 1
27 136 1
27 137 1
27 138 1
27 141 1
27 142 1
27 144 1
27 148 1
27 152 1
27 157 1
27 160 1
27 162 1
27 164 1
27 168 1
27 172 1
27 173 1
27 175 1
27 177 1
27 180 1
27 182 1
27 183 1
27 187 1
27 189 1
27 195 1
28 30 1
28 34 1
28 37 1
28 39 1
28 42 1
28 43 1
28 48 1
28 50 1
28 53 1
28 55 1
28 61 1
28 71 1
28 73 1
28 74 1
28 76 1
28 78 1
28 79 1
28 86 1
28 89 1
28 90 1
28 92 1
28 95 1
28 97 1
28 98 1
28 99 1
28 101 1
28 102 1
28 104 1
28 107 1
28 115 1
28 116 1
28 122 1
28 128 1
28 129 1
28 131 1
28 132 1
28 135 1
28 136 1
28 137 1
28 139 1
28 143 1
28 144 1
28 146 1
28 150 1
28 152 1
28 155 1
28 156 1
28 164 1
28 166 1
28 173 1
28 176 1
28 181 1
28 185 1
28 192 1
28 195 1
28 196 1
28 199 1
28 200 1
29 35 1
29 41 1
29 42 1
29 47 1
29 48 1
29 49 1
29 50 1
29 51 1
29 52 1
29 57 1
29 58 1
29 65 1
29 72 1
29 74 1
29 76 1
29 83 1
29 85 1
29 87 1
29 98 1
29 99 1
29 101 1
29 104 1
29 106 1
29 107 1
29 109 1
29 115 1
29 117 1
29 121 1
29 125 1
29 127 1
29 130 1
29 134 1
29 138 1
29 142 1
29 144 1
29 149 1
29 152 1
29 156 1
29 161 1
29 163 1
29 164 1
29 166 1
29 168 1
29 169 1
29 172 1
29 174 1
29 176 1
29 178 1
29 179 1
29 182 1
29 183 1
29 192 1
29 193 1
29 194 1
29 195 1
29 197 1
29 198 1
30 34 1
30 36 1
30 41 1
30 42 1
30 44 1
30 46 1
30 47 1
30 51 1
30 56 1
30 57 1
30 60 1
30 62 1
30 65 1
30 70 1
30 71 1
30 72 1
30 73 1
30 74 1
30 77 1
30 83 1
30 88 1
30 89 1
30 92 1
30 93 1
30 94 1
30 96 1
30 102 1
30 104 1
30 105 1
30 109 1
30 122 1
30 128 1
30 129 1
30 132 1
30 135 1
30 137 1
30 138 1
30 139 1
30 140 1
30 144 1
30 151 1
30 152 1
30 156 1
30 162 1
30 164 1
30 168 1
30 169 1
30 170 1
30 171 1
30 176 1
30 177 1
30 180 1
30 182 1
30 183 1
30 185 1
30 191 1
30 193 1
30 195 1
30 198 1
31 33 1
31 34 1
31 35 1
31 37 1
31 39 1
31 42 1
31 43 1
31 45 1
31 49 1
31 50 1
31 52 1
31 53 1
31 55 1
31 56 1
31 58 1
31 64 1
31 66 1
31 67 1
31 70 1
31 72 1
31 78 1
31 81 1
31 85 1
31 93 1
31 94 1
31 96 1
31 99 1
31 101 1
31 107 1
31 108 1
31 114 1
31 118 1
31 120 1
31 124 1
31 125 1
31 127 1
31 133 1
31 144 1
31 146 1
31 147 1
31 152 1
31 155 1
31 159 1
31 165 1
31 175 1
31 176 1
31 177 1
31 181 1
31 182 1
31 195 1
31 198 1
32 42 1
32 46 1
32 50 1
32 53 1
32 58 1
32 59 1
32 61 1
32 63 1
32 64 1
32 69 1
32 70 1
32 71 1
32 72 1
32 82 1
32 83 1
32 92 1
32 97 1
32 98 1
32 99 1
32 100 1
32 105 1
32 106 1
32 110 1
32 116 1
32 120 1
32 124 1
32 130 1
32 132 1
32 134 1
32 140 1
32 144 1
32 145 1
32 146 1
32 149 1
32 154 1
32 162 1
32 165 1
32 167 1
32 172 1
32 173 1
32 180 1
32 184 1
32 187 1
32 191 1
32 194 1
32 195 1
32 198 1
33 35 1
33 37 1
33 39 1
33 42 1
33 43 1
33 47 1
33 50 1
33 54 1
33 56 1
33 58 1
33 67 1
33 70 1
33 71 1
33 73 1
33 75 1
33 77 1
33 83 1
33 84 1
33 86 1
33 89 1
33 92 1
33 93 1
33 99 1
33 102 1
33 109 1
33 111 1
33 113 1
33 114 1
33 116 1
33 117 1
33 118 1
33 120 1
33 124 1
33 129 1
33 133 1
33 146 1
33 151 1
33 152 1
33 153 1
33 155 1
33 157 1
33 159 1
33 162 1
33 164 1
33 166 1
33 169 1
33 171 1
33 179 1
33 180 1
33 182 1
33 183 1
33 186 1
33 189 1
33 191 1
33 195 1
33 199 1
34 36 1
34 38 1
34 43 1
34 46 1
34 47 1
34 49 1
34 65 1
34 66 1
34 69 1
34 70 1
34 82 1
34 83 1
34 86 1
34 87 1
34 90 1
34 92 1
34 94 1
34 97 1
34 98 1
34 99 1
34 103 1
34 108 1
34 112 1
34 114 1
34 115 1
34 117 1
34 120 1
34 123 1
34 129 1
34 131 1
34 134 1
34 137 1
34 140 1
34 143 1
34 144 1
34 148 1
34 151 1
34 152 1
34 157 1
34 161 1
34 165 1
34 167 1
34 170 1
34 177 1
34 178 1
34 185 1
34 189 1
34 198 1
34 199 1
35 36 1
35 38 1
35 45 1
35 49 1
35 54 1
35 56 1
35 61 1
35 66 1
35 69 1
35 71 1
35 76 1
35 77 1
35 78 1
35 80 1
35 81 1
35 89 1
35 93 1
35 94 1
35 97 1
35 106 1
35 113 1
35 115 1
35 122 1
35 136 1
35 137 1
35 142 1
35 143 1
35 144 1
35 146 1
35 147 1
35 148 1
35 151 1
35 152 1
35 156 1
35 159 1
35 163 1
35 165 1
35 168 1
35 173 1
35 175 1
35 177 1
35 178 1
35 182 1
35 183 1
35 193 1
35 194 1
35 195 1
36 51 1
36 56 1
36 58 1
36 60 1
36 61 1
36 68 1
36 70 1
36 75 1
36 80 1
36 83 1
36 92 1
36 93 1
36 104 1
36 108 1
36 109 1
36 110 1
36 113 1
36 115 1
36 116 1
36 117 1
36 121 1
36 125 1
36 127 1
36 128 1
36 134 1
36 135 1
36 136 1
36 147 1
36 150 1
