instance,n,m,A,B,ratio,base,best,mean,std,known_alpha,gap,relative_gap
C125.9,125,787,1,1.0,1.0,3,13,4.76,2.6386360112755223,34,21,0.6176470588235294
C125.9,125,787,1,1.0,1.0,4,23,5.2,3.40587727318528,34,11,0.3235294117647059
C125.9,125,787,1,1.0,1.0,5,29,6.57,6.389452245693679,34,5,0.14705882352941177
C125.9,125,787,1,1.0,1.0,6,33,7.67,7.789807443063017,34,1,0.029411764705882353
C125.9,125,787,1,1.0,1.0,7,31,11.5,10.313583276436953,34,3,0.08823529411764706
C125.9,125,787,1,1.0,1.0,8,33,14.43,11.892228554816798,34,1,0.029411764705882353
C125.9,125,787,1,1.0,1.0,10,33,20.57,12.21004094997228,34,1,0.029411764705882353
C125.9,125,787,1,1.0,1.0,12,34,25.08,10.320542621393509,34,0,0.0
C125.9,125,787,1,1.0,1.0,15,34,27.68,9.07951540557094,34,0,0.0
C125.9,125,787,1,1.0,1.0,18,34,29.69,7.043713509222249,34,0,0.0
C125.9,125,787,1,1.0,1.0,20,34,30.99,4.96486656416867,34,0,0.0
C125.9,125,787,1,1.0,1.0,25,34,31.01,6.2393829823148375,34,0,0.0
C125.9,125,787,1,1.0,1.0,30,34,32.34,3.118397024113511,34,0,0.0
C125.9,125,787,1,1.0,1.0,40,34,32.28,4.342994358734536,34,0,0.0
C125.9,125,787,1,1.0,1.0,50,34,32.96,1.1306635220082055,34,0,0.0
C125.9,125,787,1,1.0,1.0,75,34,33.02,1.0675204916066015,34,0,0.0
C125.9,125,787,1,1.0,1.0,100,34,33.06,1.0846197490365,34,0,0.0
C125.9,125,787,1,1.5,1.5,3,29,14.52,9.819857432773654,34,5,0.14705882352941177
C125.9,125,787,1,1.5,1.5,4,31,26.05,5.452293095569973,34,3,0.08823529411764706
C125.9,125,787,1,1.5,1.5,5,33,29.26,1.82,34,1,0.029411764705882353
C125.9,125,787,1,1.5,1.5,6,33,30.43,1.491676908717166,34,1,0.029411764705882353
