instance,n,m,max_iters,num_attempts,known_alpha,avg_best,avg_repaired,max_best,max_repaired,gap_best,gap_repaired,best_wins,repaired_wins,ties
C125.9,125,787,62500,50,34,25.68,16.98,28,23,6,11,50,0,0
MANN_a9,45,72,22500,50,16,15.2,9.7,16,14,0,2,50,0,0
brock200-4,200,6811,100000,50,17,12.6,7.6,14,11,3,6,50,0,0
brock800_1,800,112095,400000,50,23,15.36,10.46,17,13,6,10,50,0,0
brock800_2,800,111434,400000,50,24,15.34,10.24,17,13,7,11,50,0,0
brock800_3,800,112267,400000,50,25,15.2,9.84,17,13,8,12,50,0,0
brock800_4,800,111957,400000,50,26,15.34,10.0,17,13,9,13,50,0,0
c-fat200-1,200,18366,100000,50,12,11.28,5.06,12,9,0,3,50,0,0
c-fat200-2,200,16665,100000,50,24,18.94,9.8,21,16,3,8,50,0,0
c-fat200-5,200,11427,100000,50,58,40.94,25.92,44,37,14,21,50,0,0
c-fat500-1,500,120291,250000,50,14,12.28,5.88,14,9,0,5,50,0,0
c-fat500-2,500,115611,250000,50,26,21.18,12.1,24,17,2,9,50,0,0
c-fat500-5,500,101559,250000,50,64,44.56,29.5,48,43,16,21,50,0,0
dsjc125.5,125,3859,62500,50,10,8.5,4.76,9,7,1,3,50,0,0
dsjc125.9,125,789,62500,50,34,25.7,16.36,28,24,6,10,50,0,0
evil-N120-p98-chv12x10,120,545,60000,50,20,20.0,15.6,20,18,0,2,50,0,0
evil-N120-p98-myc5x24,120,236,60000,50,48,37.74,26.42,41,34,7,14,50,0,0
evil-N121-p98-myc11x11,121,508,60500,50,22,22.0,15.54,22,20,0,2,50,0,0
evil-N125-p98-s3m25x5,125,873,62500,50,20,19.48,13.24,20,17,0,3,50,0,0
hamming6_2,64,192,32000,50,32,24.58,13.46,27,19,5,13,50,0,0
hamming6_4,64,1312,32000,50,4,4.0,2.74,4,4,0,0,42,0,8
johnson16_2_4,120,1680,60000,50,8,8.0,5.9,8,7,0,1,50,0,0
johnson8_2_4,28,168,14000,50,4,4.0,2.74,4,4,0,0,43,0,7
johnson8_4_4,70,560,35000,50,14,11.94,6.24,14,11,0,3,50,0,0
keller4,171,5100,85500,50,11,9.74,5.96,11,9,0,2,50,0,0
p-hat500-1,500,93181,250000,50,9,7.98,4.34,9,7,0,2,50,0,0
p_hat1500_1,1500,839327,750000,50,12,9.02,5.58,10,7,2,5,50,0,0
p_hat1500_2,1500,555290,750000,50,65,42.34,29.88,47,36,18,29,50,0,0
p_hat1500_3,1500,277006,750000,50,94,57.7,41.76,62,52,32,42,50,0,0
paley101,101,2525,50500,50,5,5.0,4.04,5,5,0,0,35,0,15
paley61,61,915,30500,50,5,5.0,3.52,5,5,0,0,48,0,2
paley73,73,1314,36500,50,5,5.0,3.68,5,5,0,0,40,0,10
paley89,89,1958,44500,50,5,5.0,4.2,5,5,0,0,30,0,20
paley97,97,2328,48500,50,6,6.0,4.24,6,6,0,0,46,0,4
san200-0-7-1,200,5970,100000,50,30,15.46,12.88,16,15,14,15,48,0,2
san200-0-7-2,200,5970,100000,50,18,12.88,10.8,13,12,5,6,48,0,2
sanr200-0-7,200,6032,100000,50,18,14.06,8.54,16,11,2,7,50,0,0
